,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2030,usf1944_RCC_L1_CL_B.jpg,-1.01696e-17,3.42934e-20,-3.0181700000000002e-18,9.94301e-14,0,0,0,8.15256e-13,6.10788e-16,5.07289e-17,2.70874e-16,2.95748e-11,7.42502e-09,5.07876e-12,2.88772e-09,1
2266,usf3103_RMLO_L1_MS_B.jpg,1.44119e-17,-3.69721e-19,3.0239e-17,1.62763e-13,0,0,0,0.0,1.51501e-15,2.0592e-16,1.86259e-15,4.98775e-11,1.66483e-08,1.08388e-11,1.44931e-10,1
63,usf0040_LMLO_L1_MS_M.jpg,1.62253e-17,-1.59125e-19,-7.10065e-17,1.28401e-13,0,0,0,0.0,1.77819e-15,2.16704e-16,6.52184e-15,4.19055e-11,1.22616e-08,8.041e-12,4.9028e-10,1
454,usf0304_RMLO_L2_CL_B.jpg,4.18024e-17,-7.680679999999999e-20,5.12476e-18,1.37538e-13,0,0,0,0.0,3.1005e-15,1.3549e-16,1.23476e-15,4.95238e-11,1.19027e-07,1.4196e-12,1.40473e-10,1
1703,usf1764_RMLO_L1_MS_B.jpg,1.097e-18,-1.30822e-19,-2.38602e-20,1.05986e-13,0,0,0,8.54832e-13,4.16212e-16,5.69069e-17,2.74572e-16,2.85123e-11,1.21789e-09,6.14238e-12,1.19716e-11,1
770,usf1111_RMLO_L1_MS_M.jpg,2.22143e-17,-6.30624e-20,-1.24289e-16,1.01939e-13,0,0,0,0.0,1.66372e-15,6.03575e-17,2.38019e-14,3.26991e-11,5.28082e-08,1.15983e-12,4.30823e-06,1
2859,usf4172_RCC_L1_MS_M.jpg,-1.01939e-17,-9.3499e-20,-4.496560000000001e-18,7.94886e-14,0,0,0,6.72912e-13,6.68459e-16,2.84542e-17,3.56016e-16,2.84396e-11,3.33301e-08,1.50724e-12,8.40539e-09,1
1806,usf1816_RMLO_L1_MS_M.jpg,7.04743e-18,-2.28155e-19,2.72468e-17,9.70869e-14,0,0,0,0.0,4.1409e-16,4.399e-17,1.25274e-14,2.95255e-11,6.04492e-09,6.83667e-12,2.49764e-07,1
2786,usf4125_RCC_L1_MS_M.jpg,-1.60673e-19,2.5423400000000003e-19,1.4042e-18,7.09231e-14,0,0,0,0.0,1.81733e-16,2.83502e-17,8.82201e-15,2.5103e-11,1.25022e-11,1.49993e-11,5.33477e-07,1
1781,usf1803_LMLO_L1_CL_B.jpg,-1.86359e-17,6.950739999999999e-20,-1.07075e-17,8.33382e-14,0,0,0,0.0,2.72194e-15,6.66558e-17,7.23453e-16,3.1188e-11,6.98039e-08,6.51191e-12,5.34169e-08,1
1873,usf1857_RCC_L1_MS_B.jpg,4.89768e-17,-2.30832e-19,-1.63642e-18,1.15186e-13,0,0,0,9.19427e-13,5.40505e-15,1.22794e-16,3.10955e-16,3.00099e-11,1.72293e-07,1.67972e-11,8.42097e-10,1
