,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
2030,usf1944_RCC_L1_CL_B.jpg,0.0467152,0.140145,0.0,0.186861,0.0467152,0.0,0.0525545,0.0525545,0.157664,0.0525545,0.233576,0.0467152,0.0934303,0.233576,0.186861,0.0600623,0.0,0.180187,0.180187,0.420436,0.315327,0.0,0.105109,0.157664,0.0525545,0.236495,0.354743,0.532115,0.0591239,0.118248,0.367882,0.472991,0.315327,0.157664,0.157664,0.0,0.270281,0.13514,0.20271,0.337851,0.747442,0.0934303,0.0467152,0.186861,0.186861,0.262773,0.0,0.210218,0.210218,0.0,0.0934303,0.140145,0.233576,0.0934303,0.233576,0.240249,0.120125,0.120125,0.0600623,0.240249,0.180187,0.0,0.0600623,0.78081,0.480499,0.13514,0.13514,0.13514,0.337851,0.337851,0.240249,0.300312,0.300312,0.300312,0.240249,0.308892,0.308892,0.308892,0.695007,0.077223,0.322418,0.0583939,0.0529716,0.328049,0.191657,0.48102,0.194003,0.285479,0.519263,0.318821,0.714804,0.434044,0.52114,0.715508,0.523408,0.867105,0.608869,0.707226,1.0,0.792348,0.0850883,0.0598538,0.081543,0.189572,0.176642,0.23733,0.0846712,0.189363,0.371844,0.354743,0.448695,0.185036,0.417074,0.529482,0.549268,0.693637,0.391969,0.700258,0.668141,0.736494,0.149634,0.136861,0.172445,0.140328,0.067518,0.16538,0.197497,0.181021,0.193534,0.275703,0.331386,0.0571426,0.113034,0.378935,0.251303,0.220705,0.217368,0.240726,0.287203,0.197824,0.240145,0.24197,0.322809,0.130109,0.127372,0.239404,0.178494,0.214398,0.247445,0.21305
2266,usf3103_RMLO_L1_MS_B.jpg,0.0885609,0.118081,0.147601,0.0,0.0295203,0.0,0.298893,0.564576,0.0,0.132841,0.099631,0.0,0.531365,0.0,0.132841,0.0,0.0,0.0332103,0.0,0.0,0.0664207,0.0,0.0332103,0.0,0.0,0.336255,0.0747232,0.410978,0.149446,0.0373616,0.22417,0.0747232,0.0747232,0.0373616,0.0,0.0373616,0.0,0.0,0.0,0.0373616,0.0664207,0.0,0.0664207,0.0,0.0,0.0747232,0.0,0.0,0.149446,0.0,0.149446,0.0,0.0747232,0.0373616,0.0373616,0.0,0.0747232,0.0,0.0,0.0373616,0.0664207,0.0,0.0,0.0,0.0,0.0373616,0.0,0.0373616,0.0,0.0,0.0373616,0.0373616,0.0,0.0373616,0.0373616,0.0747232,0.0373616,0.0373616,0.0,0.0,0.0719557,0.0295203,0.0618081,0.0,0.00738007,0.184041,0.122924,0.315037,0.0747232,0.0499308,0.311693,0.150946,0.48524,0.102744,0.101822,0.339714,0.178967,0.502883,0.102744,0.120503,0.047048,0.104244,0.319188,0.0,0.0738007,0.0885609,0.178967,0.609779,0.0,0.140221,0.214137,0.197648,0.86197,0.0373616,0.182772,0.370849,0.235009,1.0,0.0840637,0.192113,0.122809,0.122924,0.289091,0.0373616,0.0499308,0.0902906,0.0186808,0.159825,0.00934041,0.0425507,0.0612315,0.0,0.0259456,0.0373616,0.0,0.0653828,0.0373616,0.0280212,0.0186808,0.0280212,0.196149,0.0373616,0.140106,0.0934041,0.0186808,0.103263,0.023351,0.0884744,0.0396967,0.0223132
63,usf0040_LMLO_L1_MS_M.jpg,0.0706272,0.0470848,0.0,0.0706272,0.0,0.0,0.0,0.0,0.0,0.0,0.0794556,0.0,0.0529704,0.0264852,0.0264852,0.0529704,0.0264852,0.0794556,0.105941,0.0264852,0.0794556,0.317822,0.0264852,0.264852,0.0264852,0.0595917,0.327754,0.0,0.506529,0.0893875,0.0,0.178775,0.0893875,0.178775,0.0297958,0.0297958,0.0595917,0.148979,0.0297958,0.0,0.0,0.211882,0.0,0.0529704,0.0,0.0595917,0.35755,0.119183,0.387346,0.0297958,0.119183,0.744896,0.0,0.536325,0.0297958,0.0893875,0.327754,0.0893875,0.178775,0.208571,0.0,0.0,0.0,0.0,0.0,0.0,0.0893875,0.0,0.0,0.0,0.0297958,0.446938,0.0,0.148979,0.0,0.0,0.864079,0.148979,0.0893875,0.0297958,0.0375207,0.144197,0.0066213,0.0971124,0.0066213,0.0673165,0.33787,0.0364171,0.320581,0.0364171,0.124425,0.680522,0.0720066,0.543222,0.0579364,0.167464,1.0,0.188707,0.644197,0.124149,0.0507633,0.0183925,0.0331065,0.0507633,0.0132426,0.103734,0.104469,0.0728343,0.150083,0.0331065,0.171602,0.272485,0.112562,0.376035,0.0753173,0.219606,0.485194,0.161394,0.640059,0.118356,0.0524186,0.173165,0.0066213,0.210502,0.0289682,0.0405555,0.066213,0.0926982,0.0852492,0.0206916,0.0148979,0.164705,0.0297958,0.110079,0.00744896,0.0595917,0.595917,0.0595917,0.238367,0.0670406,0.0595917,0.402244,0.0521427,0.402244,0.0446938,0.0436592,0.30727,0.0585571,0.208985,0.0349687
454,usf0304_RMLO_L2_CL_B.jpg,0.0803894,0.0,0.241168,0.0,0.0,0.45219,0.045219,0.316533,0.0,0.0,0.361752,0.0,0.180876,0.0,0.0,0.045219,0.0,0.0904381,0.0,0.0,0.271314,0.0,0.45219,0.0,0.045219,0.152614,0.152614,0.406971,0.0,0.0508714,0.0,0.0,0.0508714,0.0,0.0,0.101743,0.0,0.152614,0.0,0.0,0.45219,0.0,0.135657,0.045219,0.0,0.457843,0.0,0.0508714,0.101743,0.0,0.0,0.0,0.0508714,0.0508714,0.0,0.152614,0.0,0.152614,0.0508714,0.0,0.406971,0.0,0.135657,0.045219,0.0904381,0.101743,0.101743,0.152614,0.0,0.0508714,0.0508714,0.0508714,0.0508714,0.101743,0.0,0.457843,0.0,0.101743,0.0,0.0508714,0.302716,0.0,0.241168,0.0226095,0.0339143,0.593814,0.074894,0.472916,0.0480452,0.05935,0.69697,0.0876119,0.556288,0.0861988,0.05935,0.886324,0.0876119,0.680641,0.0989166,0.0720678,0.234888,0.0113048,0.207254,0.0,0.0,0.517507,0.0226095,0.467263,0.0,0.0113048,0.725232,0.0607631,0.749882,0.0,0.0353274,0.842518,0.0989166,1.0,0.0,0.05935,0.239127,0.0494583,0.354216,0.0,0.0240226,0.127179,0.0,0.1187,0.0,0.0,0.354687,0.0254357,0.1187,0.0480452,0.0353274,0.165332,0.0127179,0.089025,0.0508714,0.0127179,0.152614,0.0381536,0.139896,0.0381536,0.0127179,0.199953,0.0190768,0.11658,0.0342675,0.0151908
1703,usf1764_RMLO_L1_MS_B.jpg,0.139433,0.0,0.0,0.0464777,0.0929554,0.104575,0.0,0.0522874,0.104575,0.104575,0.0,0.0,0.0,0.0929554,0.185911,0.119514,0.239028,0.0,0.119514,0.298785,0.20915,0.104575,0.104575,0.104575,0.313724,0.235293,0.235293,0.0,0.294117,0.0588233,0.104575,0.0522874,0.0,0.418299,0.156862,0.134453,0.0,0.0672266,0.134453,0.20168,0.0,0.185911,0.0464777,0.185911,0.232388,0.261437,0.0522874,0.0522874,0.627449,0.261437,0.232388,0.232388,0.0,0.418299,0.325344,0.239028,0.119514,0.239028,0.179271,0.418299,0.179271,0.179271,0.358542,0.119514,0.239028,0.336133,0.0672266,0.268907,0.40336,0.20168,0.418299,0.0,0.0,0.59757,0.119514,0.307322,0.0768304,0.0,0.153661,0.384152,0.131963,0.117439,0.127399,0.114119,0.219524,0.366323,0.206141,0.220769,0.471494,0.376153,0.555139,0.27731,0.220769,0.853275,0.57306,0.755218,0.386153,0.297333,1.0,0.89879,0.0908805,0.059757,0.0130718,0.0908805,0.170556,0.19919,0.145658,0.0522874,0.196285,0.396305,0.340179,0.290382,0.0784311,0.349075,0.610616,0.507312,0.448178,0.104575,0.583201,0.817665,0.172113,0.084967,0.0392155,0.137436,0.142519,0.0896355,0.0728289,0.0168067,0.191305,0.210809,0.19421,0.121174,0.181553,0.334058,0.233633,0.299259,0.107183,0.059757,0.3372,0.311827,0.208423,0.143064,0.0130718,0.439541,0.200617,0.197882,0.111063,0.0677972,0.325526,0.239222
770,usf1111_RMLO_L1_MS_M.jpg,0.0,0.364228,0.0,0.0,0.0,0.0,0.364228,0.0,0.0227642,0.0227642,0.161879,0.364228,0.0404697,0.0404697,0.0,0.0520325,0.442276,0.0260163,0.0520325,0.0,0.0,0.0,0.0,0.0,0.0,0.0512195,0.0,0.0,0.0,0.0512195,0.273171,0.0455285,0.0,0.113821,0.0455285,0.204878,0.0,0.0,0.17561,0.0,0.0404697,0.0,0.0,0.0,0.0202349,0.0,0.0,0.0,0.0455285,0.0455285,0.121409,0.0,0.0,0.0607046,0.0,0.286179,0.0,0.0,0.0260163,0.0260163,0.0,0.0,0.0,0.0,0.0,0.0292683,0.0,0.0,0.0,0.0,0.0520325,0.0,0.0,0.0520325,0.0,0.200697,0.0,0.0,0.0334495,0.0,0.0101174,0.0910569,0.0,0.0,0.00505872,0.0302394,0.182114,0.0,0.0170732,0.0349368,0.182362,0.284553,0.0101174,0.0838302,0.0463189,0.368309,0.395122,0.0166215,0.155607,0.0528229,0.0534779,0.38374,0.0166215,0.0288166,0.00569106,0.106956,0.676423,0.033243,0.0576332,0.0113821,0.173238,0.878049,0.0498645,0.0807588,0.024187,0.267344,1.0,0.0563686,0.122222,0.048374,0.0128049,0.182114,0.0,0.00569106,0.0184959,0.17299,0.213008,0.0166215,0.0954833,0.0113821,0.0174345,0.0,0.0,0.0113821,0.0164408,0.165079,0.0,0.0,0.0430507,0.00650407,0.11145,0.0113821,0.0,0.0550136,0.0355691,0.116738,0.0560976,0.00415537,0.0512324,0.017474
2859,usf4172_RCC_L1_MS_M.jpg,0.0,0.107832,0.242621,0.0269579,0.0269579,0.0303276,0.0909829,0.424587,0.0,0.0,0.107832,0.0539158,0.242621,0.0,0.0539158,0.0693203,0.0,0.0693203,0.0,0.0,0.394259,0.0303276,0.333604,0.0,0.0909829,0.136474,0.170593,0.375305,0.136474,0.102356,0.0909829,0.121311,0.151638,0.151638,0.0909829,0.0779854,0.0,0.194963,0.0389927,0.0,0.404369,0.0539158,0.107832,0.0808737,0.0808737,0.303276,0.0606553,0.0909829,0.121311,0.0909829,0.215663,0.0269579,0.215663,0.0808737,0.13479,0.103981,0.207961,0.207961,0.0346602,0.207961,0.138641,0.0346602,0.0346602,0.0,0.0,0.0389927,0.0,0.0,0.0,0.0,0.0346602,0.0346602,0.138641,0.0693203,0.0346602,0.0,0.0445631,0.0445631,0.0,0.0,0.234317,0.0566838,0.179679,0.0269579,0.0497036,0.361585,0.137242,0.402398,0.0914042,0.0980383,0.473869,0.196453,0.589539,0.166862,0.176625,0.536691,0.259584,0.718741,0.185275,0.228616,0.0518699,0.0631826,0.244787,0.00673948,0.0202184,0.202305,0.106989,0.512321,0.00673948,0.0564431,0.379276,0.170698,0.767533,0.0408581,0.118257,0.552035,0.251256,1.0,0.112886,0.189337,0.140265,0.0999338,0.344029,0.0408581,0.0550742,0.0865301,0.0438066,0.164636,0.0476577,0.0362247,0.22132,0.0373078,0.0583687,0.0505461,0.0429642,0.088576,0.0785355,0.151707,0.0462136,0.0943527,0.186599,0.0948792,0.208397,0.122574,0.104778,0.145756,0.0636323,0.145777,0.0667479,0.0695798
1806,usf1816_RMLO_L1_MS_M.jpg,0.0,0.282531,0.0,0.0,0.0,0.0353164,0.282531,0.0,0.0,0.0176582,0.0156962,0.345316,0.0,0.0313923,0.0470885,0.0,0.5247,0.0,0.0,0.0201808,0.0353164,0.0,0.0,0.0,0.0176582,0.0595964,0.0,0.0198655,0.0993273,0.0198655,0.0529746,0.0176582,0.0,0.0529746,0.0353164,0.0454068,0.0,0.0,0.0227034,0.0227034,0.0156962,0.0,0.0,0.0,0.0156962,0.0353164,0.0176582,0.0,0.0529746,0.0706328,0.094177,0.0,0.0156962,0.0627847,0.0156962,0.0201808,0.0201808,0.0,0.0,0.0201808,0.0201808,0.0201808,0.0,0.0605424,0.0807231,0.0,0.0,0.0,0.0908135,0.0454068,0.141266,0.0,0.0,0.0605424,0.100904,0.103787,0.0,0.0,0.0259467,0.0,0.0177983,0.0756779,0.0,0.0151356,0.0285194,0.0503556,0.150725,0.00496637,0.0759144,0.0669102,0.126384,0.241469,0.00889041,0.127838,0.116661,0.168728,0.377689,0.00889041,0.14,0.132428,0.0127531,0.35877,0.0,0.00784808,0.0212319,0.0343354,0.646906,0.0,0.0156962,0.0468783,0.0619876,0.86441,0.00496637,0.0483761,0.0730765,0.0989594,1.0,0.00993273,0.0864515,0.0963317,0.0325573,0.141266,0.00496637,0.0248318,0.0137955,0.0285194,0.221919,0.0,0.0267676,0.0313223,0.0177983,0.00945974,0.0,0.0510826,0.0531147,0.0898525,0.0050452,0.00392404,0.0373184,0.0341952,0.0605161,0.00882909,0.00889041,0.0670153,0.0353777,0.0491716,0.0613132,0.00320361,0.045546,0.0385025
2786,usf4125_RCC_L1_MS_M.jpg,0.181818,0.363636,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.102273,0.181818,0.0,0.0,0.0,0.0,0.233766,0.0,0.0,0.0,0.0,0.102273,0.0,0.102273,0.102273,0.102273,0.0,0.0,0.0,0.0,0.0,0.102273,0.0,0.0,0.0,0.0,0.262987,0.0,0.0,0.0,0.131494,0.0909091,0.818182,0.0,0.0,0.0909091,0.0,0.818182,0.102273,0.0,0.102273,0.181818,1.0,0.181818,0.272727,0.181818,0.0,0.818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.295455,0.09375,0.0255682,0.0482955,0.09375,0.5,0.119318,0.0255682,0.0994318,0.210227,0.75,0.164773,0.09375,0.144886,0.334416,0.954545,0.164773,0.09375,0.17776,0.149351,0.0909091,0.0681818,0.0,0.0255682,0.278815,0.0909091,0.09375,0.0255682,0.0767045,0.408279,0.0909091,0.119318,0.0511364,0.102273,0.517857,0.0909091,0.144886,0.0767045,0.127841,0.0710227,0.0909091,0.09375,0.0255682,0.0511364,0.195211,0.0,0.0,0.0,0.0328734,0.0227273,0.409091,0.0255682,0.0,0.0482955,0.0454545,0.454545,0.0454545,0.0681818,0.0454545,0.0710227,0.454545,0.0710227,0.0681818,0.0710227,0.0836039,0.329545,0.0355114,0.0340909,0.0494115
1781,usf1803_LMLO_L1_CL_B.jpg,0.0254275,0.0762824,0.432267,0.0,0.0127137,0.0286059,0.114424,0.429088,0.0143029,0.0143029,0.0889961,0.0889961,0.10171,0.0889961,0.0508549,0.147116,0.0817311,0.310578,0.0326924,0.0653849,0.200241,0.0572118,0.300362,0.0286059,0.0572118,0.0160908,0.0,0.0804541,0.0,0.0,0.128726,0.0429088,0.100121,0.0572118,0.0286059,0.0183895,0.0,0.0183895,0.0,0.0,0.216133,0.0762824,0.10171,0.114424,0.0,0.0,0.0,0.0143029,0.0,0.0,0.0635686,0.0254275,0.0254275,0.0127137,0.0127137,0.0,0.0,0.0,0.0,0.0,0.147116,0.0163462,0.0,0.294232,0.0,0.036779,0.0551685,0.073558,0.128726,0.0,0.0653849,0.0490387,0.0326924,0.0,0.0326924,0.0420331,0.0210166,0.0630497,0.0420331,0.0,0.14723,0.0565307,0.208585,0.109315,0.0174814,0.167598,0.0989287,0.357935,0.145073,0.0210571,0.254267,0.150521,0.422923,0.184803,0.0522739,0.306152,0.176208,0.520927,0.203485,0.0686201,0.0725364,0.0903583,0.318411,0.0339979,0.0358141,0.188776,0.175949,0.603845,0.0751472,0.0827527,0.301887,0.232934,0.802121,0.112721,0.126116,0.424931,0.278397,1.0,0.142348,0.163916,0.0675913,0.0619794,0.310543,0.0107272,0.0210571,0.095807,0.053409,0.1327,0.0447251,0.0362114,0.100007,0.0369493,0.0473927,0.134346,0.0,0.0427467,0.0238707,0.0302924,0.0136867,0.0113515,0.0520965,0.0170841,0.0550763,0.0174814,0.0103299,0.0726643,0.0328283,0.0663652,0.0525597,0.0144732
