,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2030,usf1944_RCC_L1_CL_B.jpg,2.50873e-07,2.94134e-07,2.35406e-07,2.81462e-07,-1.27817e-05,-1.26964e-05,-1.27995e-05,-1.27095e-05,0.987842,0.946653,1.0,0.957073,2.19543e-06,2.16779e-06,2.20316e-06,2.17412e-06,2.50977e-07,2.94361e-07,2.35496e-07,2.8167e-07,2.50779e-07,2.93921e-07,2.35322e-07,2.8127e-07
2266,usf3103_RMLO_L1_MS_B.jpg,1.48666e-07,1.56661e-07,1.43038e-07,1.69978e-07,-8.57809e-06,-8.54191e-06,-8.58699e-06,-8.52772e-06,0.989584,0.977977,1.0,0.967655,1.46632e-06,1.45772e-06,1.46915e-06,1.45129e-06,1.48891e-07,1.56956e-07,1.43325e-07,1.70954e-07,1.48463e-07,1.56412e-07,1.42779e-07,1.69075e-07
63,usf0040_LMLO_L1_MS_M.jpg,5.49308e-07,6.39549e-07,5.55305e-07,6.03803e-07,-2.2911e-05,-2.27399e-05,-2.29052e-05,-2.27752e-05,0.997207,0.952884,1.0,0.967551,4.1636e-06,4.10519e-06,4.16061e-06,4.12308e-06,5.49717e-07,6.40019e-07,5.55732e-07,6.04318e-07,5.49038e-07,6.39236e-07,5.55018e-07,6.03442e-07
454,usf0304_RMLO_L2_CL_B.jpg,3.92868e-07,4.12468e-07,3.67214e-07,4.37866e-07,-1.93312e-05,-1.92448e-05,-1.93616e-05,-1.92169e-05,0.986669,0.969039,1.0,0.957391,3.46206e-06,3.4413e-06,3.47489e-06,3.4286e-06,3.93039e-07,4.12669e-07,3.67403e-07,4.38042e-07,3.92771e-07,4.12355e-07,3.67112e-07,4.3776e-07
1703,usf1764_RMLO_L1_MS_B.jpg,1.46746e-07,1.78235e-07,1.35789e-07,1.56407e-07,-7.8404e-06,-7.78574e-06,-7.85276e-06,-7.80687e-06,0.984064,0.936253,1.0,0.965694,1.28998e-06,1.2707e-06,1.29545e-06,1.28161e-06,1.47095e-07,1.78678e-07,1.36096e-07,1.5683e-07,1.46533e-07,1.77966e-07,1.35592e-07,1.56156e-07
770,usf1111_RMLO_L1_MS_M.jpg,2.18346e-07,1.78882e-06,1.73314e-06,1.77125e-06,-1.33325e-05,-1.32225e-05,-1.3333e-05,-1.32452e-05,0.983331,0.95151,1.0,0.968306,2.36321e-06,2.32717e-06,2.36451e-06,2.33751e-06,2.20447e-07,2.23378e-05,2.23536e-05,2.23336e-05,2.16945e-07,2.52627e-07,1.90728e-07,2.31684e-07
2859,usf4172_RCC_L1_MS_M.jpg,2.31796e-07,2.57771e-07,2.11171e-07,2.7129e-07,-1.28389e-05,-1.27725e-05,-1.28651e-05,-1.2758e-05,0.985441,0.959113,1.0,0.949577,2.23871e-06,2.21961e-06,2.24903e-06,2.21284e-06,2.31866e-07,2.57936e-07,2.11251e-07,2.71411e-07,2.31731e-07,2.57617e-07,2.11096e-07,2.71176e-07
1806,usf1816_RMLO_L1_MS_M.jpg,1.2908e-07,9.77799e-07,9.42085e-07,9.5525e-07,-7.57227e-06,-7.50429e-06,-7.56334e-06,-7.52442e-06,0.984831,0.942297,1.0,0.970244,1.2708e-06,1.24467e-06,1.26672e-06,1.25499e-06,1.29384e-07,1.19106e-05,1.19038e-05,1.18793e-05,1.28901e-07,1.61597e-07,1.24611e-07,1.41256e-07
2786,usf4125_RCC_L1_MS_M.jpg,8.69516e-08,4.69698e-07,4.53588e-07,4.68779e-07,-7.49365e-06,-7.45259e-06,-7.49119e-06,-7.45339e-06,0.995888,0.973117,1.0,0.974357,1.24372e-06,1.23257e-06,1.24452e-06,1.23302e-06,8.70009e-08,4.06051e-06,4.05411e-06,4.05926e-06,8.69054e-08,9.63837e-08,7.91766e-08,9.54627e-08
1781,usf1803_LMLO_L1_CL_B.jpg,3.42221e-07,3.66645e-07,2.93127e-07,3.90216e-07,-1.41335e-05,-1.40693e-05,-1.41737e-05,-1.40461e-05,0.983655,0.962177,1.0,0.954256,2.47847e-06,2.46003e-06,2.49864e-06,2.44839e-06,3.59515e-07,3.86013e-07,2.97242e-07,4.10053e-07,3.26088e-07,3.48647e-07,2.89275e-07,3.71785e-07
