,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
2030,usf1944_RCC_L1_CL_B.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27238e-06,9.84699e-06,2.12089e-05,6.13543e-05,0.000107559,0.000199212,0.000287077,0.000340857,0.000333283,0.00038479,0.000399939,0.000465838,0.000533252,0.000599151,0.000720345,0.000741554,0.00082033,0.000783972,0.000700651,0.000664293,0.000758975,0.00080518,0.000849871,0.00115664,0.00179518,0.00266778,0.00422133,0.00621724,0.00863656,0.0112672,0.0135669,0.01475,0.0160506,0.0170595,0.0181571,0.0183639,0.0179836,0.0169482,0.0163127,0.0151757,0.0147402,0.0137085,0.0138214,0.0134889,0.0137025,0.0133465,0.0140107,0.0141607,0.0150515,0.0146296,0.0148174,0.0149356,0.0156862,0.0163369,0.0162028,0.0156325,0.0159847,0.0159317,0.0167618,0.0160809,0.0166846,0.0162521,0.0166906,0.0161029,0.0157597,0.014419,0.0143213,0.0134427,0.012792,0.0116035,0.0110718,0.0103408,0.00983411,0.00903953,0.00904559,0.00886683,0.00954249,0.00922511,0.0093357,0.00901454,0.00956142,0.00957809,0.00952658,0.00937054,0.00994243,0.0101651,0.0102174,0.00984396,0.0100674,0.00999772,0.0102954,0.00968792,0.00968186,0.00927435,0.00938796,0.00895848,0.00883199,0.00827147,0.00829268,0.00812755,0.00811619,0.00742993,0.00724965,0.00651416,0.00581881,0.00470686,0.0040812,0.00323739,0.00281245,0.00214664,0.00168383,0.00123087,0.000872594,0.000597636,0.000467353,0.000309044,0.000181791,9.61975e-05,2.42387e-05,6.05968e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2266,usf3103_RMLO_L1_MS_B.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,6e-06,8e-06,2e-05,5.3e-05,9.2e-05,0.000127,0.000115,0.00015,0.000201,0.000287,0.000377,0.000406,0.000404,0.000367,0.000332,0.000335,0.000256,0.000268,0.000282,0.000415,0.000555,0.000727,0.000927,0.001016,0.001086,0.001131,0.001231,0.001229,0.001275,0.001168,0.001155,0.001127,0.001179,0.001321,0.00139,0.001584,0.001767,0.0019,0.001982,0.00188,0.001756,0.001717,0.001655,0.001863,0.001824,0.001881,0.001718,0.001629,0.001609,0.002004,0.002395,0.002542,0.00275,0.002952,0.003205,0.003382,0.003648,0.004037,0.00431,0.004561,0.004923,0.00531,0.005986,0.006362,0.006527,0.006321,0.006626,0.007183,0.007898,0.008575,0.009683,0.011424,0.014261,0.018403,0.02406,0.031287,0.038336,0.045241,0.049624,0.050393,0.049507,0.046428,0.042466,0.037509,0.03287,0.028531,0.024605,0.022494,0.021217,0.019944,0.019228,0.018117,0.017596,0.016712,0.015555,0.015086,0.014065,0.012969,0.011335,0.009692,0.008084,0.006813,0.005856,0.005028,0.00459,0.004451,0.004209,0.004022,0.003621,0.003271,0.002889,0.002835,0.002807,0.002818,0.002631,0.002705,0.002546,0.002343,0.002179,0.00194,0.001637,0.00145,0.001192,0.001094,0.000947,0.000807,0.000525,0.0004,0.000214,8.7e-05,4.6e-05,2.2e-05,1.2e-05,3e-06,0.0,2e-06,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,usf0040_LMLO_L1_MS_M.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,4.8e-05,0.000313,0.001006,0.002113,0.002381,0.001583,0.001242,0.001706,0.003116,0.004448,0.004425,0.004095,0.003866,0.004142,0.004915,0.006341,0.007607,0.007422,0.006855,0.006393,0.006374,0.006045,0.00588,0.005601,0.005396,0.00517,0.004579,0.00423,0.004083,0.003937,0.003917,0.004047,0.00392,0.003915,0.003784,0.003541,0.003511,0.003582,0.003591,0.003577,0.00362,0.003584,0.003655,0.003463,0.003469,0.003329,0.00333,0.003218,0.003154,0.003023,0.003073,0.002963,0.002938,0.002864,0.003008,0.003018,0.002947,0.002903,0.002805,0.002785,0.002956,0.002848,0.003138,0.003032,0.002963,0.003079,0.002943,0.002981,0.003057,0.002991,0.002897,0.002908,0.002856,0.002894,0.002839,0.002754,0.002903,0.002746,0.002947,0.003049,0.003084,0.003142,0.003261,0.00322,0.003215,0.00328,0.003274,0.003304,0.003196,0.003203,0.003237,0.003055,0.002996,0.002913,0.002971,0.00301,0.003104,0.003219,0.003324,0.003356,0.003335,0.003258,0.003194,0.003294,0.003449,0.003457,0.00342,0.003469,0.003561,0.003509,0.003595,0.003529,0.003572,0.003709,0.003852,0.004195,0.004294,0.00491,0.006061,0.007883,0.010163,0.012962,0.015068,0.017455,0.018821,0.019343,0.019749,0.019187,0.019504,0.019889,0.020129,0.020181,0.020019,0.018875,0.018169,0.017027,0.016404,0.015687,0.014955,0.014305,0.013922,0.014061,0.014044,0.013672,0.013062,0.01259,0.011608,0.010467,0.009344,0.00829,0.007353,0.006345,0.00575,0.005245,0.004835,0.004496,0.003921,0.003641,0.003171,0.003031,0.003078,0.003168,0.003479,0.003742,0.004102,0.003976,0.003693,0.003102,0.002728,0.002667,0.002673,0.002542,0.002743,0.002766,0.002852,0.003045,0.002376,0.001415,0.000868,0.000436,0.000229,3.6e-05,4e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,usf0304_RMLO_L2_CL_B.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1.6e-05,4.4e-05,0.000108,0.000175,0.000196,0.000266,0.000265,0.000355,0.000427,0.000443,0.000499,0.000482,0.00045,0.0005,0.000459,0.000456,0.000601,0.000722,0.000917,0.001082,0.001133,0.001394,0.001377,0.001592,0.001635,0.001601,0.001656,0.001583,0.001645,0.001665,0.00168,0.00178,0.001801,0.001815,0.00202,0.002094,0.002042,0.002087,0.002056,0.002162,0.002187,0.002383,0.002609,0.002651,0.002544,0.002444,0.002466,0.002438,0.002539,0.002545,0.002565,0.00257,0.002514,0.002539,0.002565,0.002485,0.002658,0.002883,0.003191,0.003724,0.004402,0.005052,0.005368,0.005641,0.005673,0.005222,0.004917,0.004465,0.004213,0.003996,0.00369,0.00351,0.003234,0.003093,0.003183,0.003303,0.003647,0.004268,0.004711,0.005208,0.005577,0.005829,0.005815,0.006027,0.005963,0.006322,0.006577,0.007461,0.008135,0.008843,0.009434,0.009514,0.009456,0.009598,0.00978,0.010331,0.011283,0.01232,0.013074,0.013712,0.013651,0.013744,0.013914,0.014415,0.015403,0.016449,0.017359,0.018037,0.017667,0.017512,0.017166,0.01675,0.016105,0.015661,0.014998,0.013714,0.012915,0.012736,0.012268,0.012118,0.012107,0.012225,0.012198,0.012358,0.012954,0.013567,0.014315,0.014471,0.013884,0.013945,0.013248,0.012975,0.012792,0.012383,0.012297,0.012323,0.01243,0.013034,0.012824,0.011932,0.010293,0.009181,0.008807,0.009062,0.00945,0.0096,0.00879,0.007287,0.004873,0.002791,0.001086,0.000283,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,usf1764_RMLO_L1_MS_B.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54476e-06,1.59067e-05,4.84775e-05,0.00015225,0.000333283,0.00072186,0.00143842,0.00260642,0.00429556,0.0068126,0.00974624,0.013579,0.0180412,0.0228655,0.0272065,0.0311899,0.0341948,0.0375306,0.0390335,0.0391486,0.0373587,0.0368232,0.0346818,0.0337032,0.0296606,0.0281018,0.0258582,0.0248864,0.023098,0.0216838,0.0201818,0.0194243,0.0191009,0.0186282,0.0184517,0.0193652,0.019622,0.0218186,0.0218686,0.0230321,0.0220891,0.0211733,0.0192153,0.0171247,0.0146107,0.0139979,0.0134267,0.0123913,0.0113831,0.0108332,0.00999545,0.00890243,0.00751476,0.00637251,0.00509468,0.00401075,0.00311771,0.00254582,0.00192622,0.00153386,0.00129374,0.000983941,0.000773367,0.000695349,0.000537039,0.000377215,0.000315861,0.000268898,0.000218906,0.000246175,0.00019997,0.000111347,9.24102e-05,6.89289e-05,7.7261e-05,6.21118e-05,3.18133e-05,2.04514e-05,1.74216e-05,1.89365e-05,7.5746e-06,3.7873e-06,0.0,0.0,7.5746e-07,0.0,7.5746e-07,0.0,0.0,0.0,7.5746e-07,7.5746e-07,7.5746e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,usf1111_RMLO_L1_MS_M.jpg,0.0791993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5746e-07,0.0,7.5746e-07,1.51492e-06,5.30222e-06,4.54476e-06,1.59067e-05,3.63581e-05,5.15073e-05,6.7414e-05,9.61975e-05,0.000153764,0.000225723,0.000288592,0.00033707,0.000418118,0.000464323,0.00053098,0.000618088,0.00066505,0.000745341,0.000799878,0.000858203,0.00101803,0.00123012,0.00156643,0.00168838,0.00188683,0.00213149,0.00227087,0.00247235,0.00242918,0.00254279,0.00251856,0.00258673,0.00257688,0.00248144,0.00247917,0.00232843,0.00229813,0.00206787,0.0021224,0.00242463,0.00271701,0.0029397,0.00315861,0.00336388,0.0033351,0.00336918,0.00331465,0.00331843,0.00351462,0.00364035,0.00336918,0.00338206,0.00339948,0.00355552,0.00369641,0.0036449,0.00366459,0.00384487,0.00396758,0.00382366,0.00351462,0.00339797,0.00313437,0.0030662,0.00300788,0.00297076,0.00292001,0.00309423,0.00301848,0.00310559,0.0030056,0.00293289,0.00283063,0.00287608,0.00261778,0.00272686,0.00274201,0.00282987,0.00290562,0.00277458,0.00297303,0.00316088,0.00310635,0.00307756,0.00331162,0.00340403,0.00362218,0.00374261,0.0036699,0.00375397,0.00382063,0.00379185,0.00408271,0.00428723,0.00489622,0.00605665,0.00748901,0.0099606,0.0126791,0.0161415,0.0192281,0.0217876,0.0235949,0.0261907,0.0274307,0.0276852,0.0253431,0.0244432,0.0230472,0.0211203,0.0190645,0.0181321,0.0164483,0.0158143,0.0145675,0.0138691,0.0127496,0.0123102,0.0120603,0.0115702,0.0106279,0.0103636,0.00961293,0.00912513,0.00892819,0.00949022,0.00987653,0.0102621,0.00950764,0.00961975,0.00924708,0.0100394,0.0110279,0.0116566,0.0115588,0.0113437,0.00996969,0.00838887,0.00612558,0.00481593,0.00358279,0.00240797,0.00148386,0.000821845,0.000434025,0.000260566,0.000187093,0.000120436,9.24102e-05,7.27162e-05,5.90819e-05,5.30222e-05,6.89289e-05,7.5746e-05,5.90819e-05,6.58991e-05,5.22648e-05,5.60521e-05,5.52946e-05,5.37797e-05,4.31752e-05,4.31752e-05,3.63581e-05,5.15073e-05,5.22648e-05,3.63581e-05,6.13543e-05,5.52946e-05,6.58991e-05,6.13543e-05,5.37797e-05,4.84775e-05,3.56006e-05,3.10559e-05,1.81791e-05,2.72686e-05,1.81791e-05,2.19664e-05,1.59067e-05,6.66565e-05,9.46826e-05,7.80184e-05,7.49886e-05,0.000108317,8.86229e-05,7.87759e-05,8.33206e-05,0.000110589,8.48356e-05,0.000124981,0.000180276,0.000353734,0.000484017,0.000632479,0.00120436,0.00349189,0.00111725,0.000180276,0.000102257,9.92273e-05,0.000103772,8.86229e-05,0.000108317,0.000102257,0.000202999,0.000616573,0.0357953,0.00103242,7.5746e-07
2859,usf4172_RCC_L1_MS_M.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5746e-07,0.0,7.5746e-07,0.0,4.54476e-06,7.5746e-06,1.74216e-05,4.09029e-05,6.96864e-05,0.000131041,0.000174973,0.000211331,0.000252234,0.00028632,0.00029541,0.000331768,0.000330253,0.000315861,0.000370398,0.000413573,0.000490834,0.000475685,0.000519618,0.000490077,0.000577942,0.000625662,0.000744584,0.000713528,0.000751401,0.000759733,0.000706711,0.000790789,0.000765035,0.00076958,0.000780942,0.000865777,0.000827904,0.000828662,0.000804423,0.000762005,0.000850628,0.000866535,0.00109756,0.00120133,0.00131874,0.00135434,0.00163233,0.00162248,0.00160506,0.0015384,0.00172246,0.00155052,0.00137782,0.00124375,0.00139979,0.00133086,0.00143463,0.00145887,0.00151947,0.00149068,0.00137025,0.00133237,0.00148235,0.00159142,0.00180427,0.00188835,0.00197243,0.00195501,0.0019391,0.00213831,0.00228526,0.0023095,0.00252992,0.00260188,0.00250416,0.0023754,0.00224436,0.00214134,0.00232692,0.00259809,0.00271171,0.00275564,0.00298061,0.00339115,0.00382215,0.00416452,0.00456749,0.00481139,0.00513634,0.00500681,0.00516588,0.00548704,0.00630737,0.00680048,0.00723829,0.00725571,0.00793894,0.00918875,0.0108627,0.012211,0.0143319,0.0152234,0.0160521,0.0154507,0.0152765,0.014066,0.0143834,0.0127927,0.0121656,0.0109173,0.0100598,0.00959475,0.00929707,0.00896,0.00891076,0.00813967,0.00779805,0.00707089,0.00686259,0.00664444,0.00724814,0.00749204,0.0081374,0.00805483,0.00878881,0.00895848,0.00958036,0.00988789,0.0109309,0.0113945,0.0120982,0.0124178,0.0135237,0.0146955,0.0164982,0.017086,0.0185972,0.0186608,0.0198076,0.0190297,0.0194819,0.019066,0.0202636,0.0204264,0.0207294,0.0195629,0.0198288,0.019825,0.0201181,0.0190153,0.0188456,0.0179003,0.0177731,0.0141751,0.0126473,0.0104196,0.00904938,0.00707089,0.00527495,0.0033457,0.00201484,0.00105893,0.000584002,0.000271171,0.000105287,4.84775e-05,2.04514e-05,1.36343e-05,1.51492e-05,9.08953e-06,1.06044e-05,1.06044e-05,9.08953e-06,6.05968e-06,7.5746e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1806,usf1816_RMLO_L1_MS_M.jpg,0.0248667,0.00124299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51492e-06,6.81714e-06,3.56006e-05,0.000118921,0.000302227,0.000497651,0.000807453,0.00109983,0.00135661,0.00154067,0.00158082,0.00160809,0.0015793,0.00147856,0.00179139,0.00196712,0.00202469,0.00200576,0.00189289,0.00172852,0.00160582,0.00166111,0.00185275,0.0019088,0.00190274,0.00188683,0.00195273,0.00214134,0.00223527,0.00256173,0.00272156,0.00312983,0.0033404,0.00362218,0.00367293,0.00394182,0.0041274,0.0045084,0.00465459,0.00492046,0.00505226,0.00559839,0.00593849,0.00676942,0.00856385,0.0119096,0.0162862,0.0215588,0.0264104,0.0334532,0.0388948,0.0434782,0.0457006,0.0492933,0.049016,0.0508097,0.04594,0.0432063,0.0394652,0.0382964,0.0352105,0.0323398,0.0281957,0.0257082,0.0222224,0.0186585,0.0148826,0.0127768,0.0107355,0.00894182,0.0069444,0.0055787,0.00443493,0.00387744,0.00293819,0.00236403,0.00188759,0.00151113,0.00123315,0.00111044,0.000905165,0.00080518,0.000732464,0.000675655,0.000618845,0.000584759,0.000537039,0.000490834,0.000405999,0.00038176,0.00028935,0.000227996,0.00019997,0.000223451,0.000191637,0.000179518,0.00019391,0.00018785,0.000175731,0.000271928,0.000229511,0.000226481,0.000185578,0.00024163,0.000221936,0.00018482,0.000165126,0.000180276,0.000214361,0.000201484,0.000212846,0.000206787,0.000168156,0.000180276,0.00018785,0.000229511,0.000209059,0.000209817,0.000212846,0.000151492,9.84699e-05,9.16527e-05,8.71079e-05,7.7261e-05,4.62051e-05,4.39327e-05,4.46902e-05,5.68095e-05,5.98394e-05,5.68095e-05,5.45372e-05,6.05968e-05,8.40781e-05,7.80184e-05,6.05968e-05,7.04438e-05,7.80184e-05,0.000106044,9.69549e-05,9.39251e-05,8.10483e-05,0.000113619,0.000117406,0.000121951,0.000146947,0.000170429,0.000202999,0.000216634,0.000234813,0.000268898,0.000296167,0.000265111,0.000167399,0.000174973,0.000128768,0.000136343,0.000141645,0.000144675,9.544e-05,0.00013407,0.000140888,0.000123466,0.000130283,0.000160582,0.000259809,0.000329495,0.00237464,0.0442107,9.01378e-05
2786,usf4125_RCC_L1_MS_M.jpg,0.363951,0.000711255,3.02984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33206e-06,3.25708e-05,0.000131798,0.00042342,0.00099606,0.00209514,0.00345175,0.0052795,0.00691486,0.00902514,0.0108059,0.0123443,0.0136358,0.0156779,0.0176859,0.01995,0.0231048,0.0271807,0.0304393,0.0349848,0.0352666,0.0376488,0.036727,0.0370095,0.0351969,0.0328548,0.0289797,0.0274428,0.0250454,0.0222042,0.018148,0.0155582,0.012283,0.00937887,0.0065331,0.00457658,0.00335252,0.00280866,0.00231859,0.00187093,0.00148311,0.00125814,0.000890016,0.000690046,0.000552189,0.000420391,0.00024769,0.000191637,0.000105287,6.66565e-05,4.92349e-05,7.5746e-06,0.0,7.5746e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781,usf1803_LMLO_L1_CL_B.jpg,0.000561278,0.000220421,0.000147705,0.000109074,0.000109832,0.000109832,0.000106044,0.000122709,0.000132556,0.000150735,0.000158309,0.000204514,0.00019391,0.000253749,0.000228753,0.000281018,0.000268898,0.000288592,0.000319648,0.000362066,0.000412816,0.000439327,0.000468111,0.000504469,0.000593092,0.000647629,0.000610513,0.000682472,0.000728677,0.000779427,0.000835479,0.000887744,0.00103015,0.00107105,0.00113846,0.00121951,0.00133465,0.0013657,0.00137403,0.00148917,0.00132101,0.00139751,0.00144448,0.00137479,0.00134601,0.00135131,0.00130056,0.00119906,0.0011021,0.00109377,0.00102712,0.000943796,0.000944553,0.000905165,0.000902135,0.000913497,0.000921072,0.000901378,0.00100212,0.00100439,0.00105969,0.00112104,0.00113165,0.00117179,0.00117028,0.00106575,0.00103545,0.00101651,0.000919557,0.000967277,0.000829419,0.00082033,0.000811998,0.000833964,0.000759733,0.000734737,0.000663535,0.000613543,0.000608241,0.000600666,0.000588547,0.000613543,0.000704438,0.00070974,0.000656718,0.000674897,0.000730192,0.000750643,0.000802908,0.00082033,0.000879412,0.000888501,0.000850628,0.000863505,0.000877139,0.000890773,0.000827904,0.000805938,0.000815785,0.000828662,0.000893046,0.000964247,0.000967277,0.000921072,0.00100061,0.00109226,0.00114452,0.00117558,0.00123163,0.00145205,0.00154825,0.00176034,0.00199591,0.00209589,0.0022792,0.00246175,0.00260869,0.00272004,0.00272307,0.0028382,0.00266929,0.00255719,0.00259279,0.00249432,0.00234888,0.00225799,0.0022383,0.00221709,0.00239812,0.00247084,0.00250189,0.00253371,0.00279503,0.00293667,0.00315482,0.00319042,0.00342675,0.00344266,0.00347296,0.00377367,0.00405923,0.00452128,0.00484396,0.00473413,0.0048841,0.00469625,0.00463717,0.00470383,0.00469777,0.00465687,0.00505302,0.00497576,0.00508332,0.00488789,0.00470534,0.00471368,0.00469019,0.00461672,0.0046705,0.00454249,0.0045387,0.00432283,0.00424178,0.00426829,0.00437661,0.00425693,0.00447962,0.00446144,0.00464702,0.00488638,0.00526283,0.00561505,0.00631722,0.0067361,0.00713679,0.00692167,0.00714058,0.00723072,0.00747462,0.00772004,0.00818209,0.00802757,0.00856839,0.00877442,0.009163,0.00889789,0.00935615,0.00944477,0.00948946,0.00934252,0.00958566,0.00973185,0.0109188,0.0114164,0.0122019,0.0126534,0.0144228,0.0153158,0.016724,0.0172686,0.0188615,0.0193402,0.0204325,0.0206514,0.0216694,0.0218808,0.0233669,0.0229306,0.0233207,0.0218898,0.0227299,0.0222436,0.0218315,0.0202999,0.020687,0.0191039,0.0177329,0.0151947,0.0131768,0.00932737,0.00590668,0.00278064,0.00109074,0.000356764,8.5593e-05,1.36343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
