,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
2030,usf1944_RCC_L1_CL_B.jpg,0.00964626,0.0247886,0.0319436,0.00424481,0.0799371,0.00312604,0.00412664,0.00410089,0.133455,0.00399106,0.00537494,0.00081427,0.00821087,0.00528632,0.00494319,0.00819269,0.183652,0.000344644,0.00695121,0.000464323,0.000358279,0.00726177,0.00292152,0.000408271,0.00757915,0.00756476,0.00714361,0.157271,3.93879e-05,0.000677927,0.000366611,0.00778669,0.006752,0.00499697,0.120577,0.141222,0.00964626,0.0247886,0.0319436,0.00424481,0.0799371,0.00312604,0.00412664,0.00410089,0.133455,0.00399106,0.00537494,0.00081427,0.00821087,0.00528632,0.00494319,0.00819269,0.183652,0.000344644,0.00695121,0.000464323,0.000358279,0.00726177,0.00292152,0.000408271,0.00757915,0.00756476,0.00714361,0.157271,3.93879e-05,0.000677927,0.000366611,0.00778669,0.006752,0.00499697,0.120577,0.141222,0.00964626,0.0247886,0.0319436,0.00424481,0.0799371,0.00312604,0.00412664,0.00410089,0.133455,0.00399106,0.00537494,0.00081427,0.00821087,0.00528632,0.00494319,0.00819269,0.183652,0.000344644,0.00695121,0.000464323,0.000358279,0.00726177,0.00292152,0.000408271,0.00757915,0.00756476,0.00714361,0.157271,3.93879e-05,0.000677927,0.000366611,0.00778669,0.006752,0.00499697,0.120577,0.141222
2266,usf3103_RMLO_L1_MS_B.jpg,0.025495,0.051437,0.047862,0.008774,0.073298,0.008615,0.008252,0.008381,0.088148,0.006716,0.010286,0.001309,0.010176,0.010236,0.010614,0.0101,0.112651,0.001473,0.013402,0.001086,0.001574,0.011298,0.00612,0.001213,0.013657,0.014009,0.011412,0.12743,3.1e-05,0.00095,0.0015,0.010274,0.014163,0.006986,0.128545,0.138531,0.025495,0.051437,0.047862,0.008774,0.073298,0.008615,0.008252,0.008381,0.088148,0.006716,0.010286,0.001309,0.010176,0.010236,0.010614,0.0101,0.112651,0.001473,0.013402,0.001086,0.001574,0.011298,0.00612,0.001213,0.013657,0.014009,0.011412,0.12743,3.1e-05,0.00095,0.0015,0.010274,0.014163,0.006986,0.128545,0.138531,0.025495,0.051437,0.047862,0.008774,0.073298,0.008615,0.008252,0.008381,0.088148,0.006716,0.010286,0.001309,0.010176,0.010236,0.010614,0.0101,0.112651,0.001473,0.013402,0.001086,0.001574,0.011298,0.00612,0.001213,0.013657,0.014009,0.011412,0.12743,3.1e-05,0.00095,0.0015,0.010274,0.014163,0.006986,0.128545,0.138531
63,usf0040_LMLO_L1_MS_M.jpg,0.030327,0.058313,0.048416,0.009504,0.067618,0.010455,0.009203,0.009283,0.078604,0.008103,0.011197,0.001618,0.010276,0.011493,0.0113,0.010122,0.10013,0.001938,0.014153,0.001527,0.002195,0.012119,0.006458,0.001541,0.013982,0.014357,0.011944,0.117488,5.1e-05,0.001185,0.002198,0.011447,0.016489,0.007404,0.131981,0.141585,0.030327,0.058313,0.048416,0.009504,0.067618,0.010455,0.009203,0.009283,0.078604,0.008103,0.011197,0.001618,0.010276,0.011493,0.0113,0.010122,0.10013,0.001938,0.014153,0.001527,0.002195,0.012119,0.006458,0.001541,0.013982,0.014357,0.011944,0.117488,5.1e-05,0.001185,0.002198,0.011447,0.016489,0.007404,0.131981,0.141585,0.030327,0.058313,0.048416,0.009504,0.067618,0.010455,0.009203,0.009283,0.078604,0.008103,0.011197,0.001618,0.010276,0.011493,0.0113,0.010122,0.10013,0.001938,0.014153,0.001527,0.002195,0.012119,0.006458,0.001541,0.013982,0.014357,0.011944,0.117488,5.1e-05,0.001185,0.002198,0.011447,0.016489,0.007404,0.131981,0.141585
454,usf0304_RMLO_L2_CL_B.jpg,0.02423,0.048534,0.044006,0.00837,0.069154,0.008052,0.007794,0.007784,0.08274,0.006876,0.010121,0.001346,0.010102,0.010104,0.010337,0.00998,0.112772,0.00136,0.012872,0.001174,0.001401,0.010652,0.005916,0.001108,0.013306,0.01341,0.010731,0.130123,4.3e-05,0.001053,0.001508,0.010062,0.01393,0.007468,0.133527,0.154058,0.02423,0.048534,0.044006,0.00837,0.069154,0.008052,0.007794,0.007784,0.08274,0.006876,0.010121,0.001346,0.010102,0.010104,0.010337,0.00998,0.112772,0.00136,0.012872,0.001174,0.001401,0.010652,0.005916,0.001108,0.013306,0.01341,0.010731,0.130123,4.3e-05,0.001053,0.001508,0.010062,0.01393,0.007468,0.133527,0.154058,0.02423,0.048534,0.044006,0.00837,0.069154,0.008052,0.007794,0.007784,0.08274,0.006876,0.010121,0.001346,0.010102,0.010104,0.010337,0.00998,0.112772,0.00136,0.012872,0.001174,0.001401,0.010652,0.005916,0.001108,0.013306,0.01341,0.010731,0.130123,4.3e-05,0.001053,0.001508,0.010062,0.01393,0.007468,0.133527,0.154058
1703,usf1764_RMLO_L1_MS_B.jpg,0.00955082,0.0242372,0.0309423,0.00422511,0.0765952,0.00312604,0.00397515,0.00392213,0.127468,0.00402211,0.00529541,0.000824874,0.00803741,0.00533328,0.00514997,0.00821011,0.179867,0.000346917,0.00714058,0.000443872,0.000348432,0.00713679,0.00298742,0.000440085,0.00763444,0.0076761,0.00731555,0.158027,4.84775e-05,0.000740039,0.000346159,0.00787683,0.00673458,0.00524844,0.12327,0.151978,0.00955082,0.0242372,0.0309423,0.00422511,0.0765952,0.00312604,0.00397515,0.00392213,0.127468,0.00402211,0.00529541,0.000824874,0.00803741,0.00533328,0.00514997,0.00821011,0.179867,0.000346917,0.00714058,0.000443872,0.000348432,0.00713679,0.00298742,0.000440085,0.00763444,0.0076761,0.00731555,0.158027,4.84775e-05,0.000740039,0.000346159,0.00787683,0.00673458,0.00524844,0.12327,0.151978,0.00955082,0.0242372,0.0309423,0.00422511,0.0765952,0.00312604,0.00397515,0.00392213,0.127468,0.00402211,0.00529541,0.000824874,0.00803741,0.00533328,0.00514997,0.00821011,0.179867,0.000346917,0.00714058,0.000443872,0.000348432,0.00713679,0.00298742,0.000440085,0.00763444,0.0076761,0.00731555,0.158027,4.84775e-05,0.000740039,0.000346159,0.00787683,0.00673458,0.00524844,0.12327,0.151978
770,usf1111_RMLO_L1_MS_M.jpg,0.0116906,0.0352136,0.0302681,0.00435691,0.0622223,0.00465762,0.00445538,0.00440766,0.100451,0.00919557,0.00657854,0.000931676,0.00840857,0.00671489,0.00526208,0.00853506,0.14128,0.000536282,0.00713831,0.000484775,0.000563551,0.00719057,0.00301091,0.000515073,0.0075746,0.00755188,0.00714361,0.121672,3.18133e-05,0.000693834,0.000491592,0.00707165,0.00805256,0.00505984,0.115782,0.251327,0.0116906,0.0352136,0.0302681,0.00435691,0.0622223,0.00465762,0.00445538,0.00440766,0.100451,0.00919557,0.00657854,0.000931676,0.00840857,0.00671489,0.00526208,0.00853506,0.14128,0.000536282,0.00713831,0.000484775,0.000563551,0.00719057,0.00301091,0.000515073,0.0075746,0.00755188,0.00714361,0.121672,3.18133e-05,0.000693834,0.000491592,0.00707165,0.00805256,0.00505984,0.115782,0.251327,0.0116906,0.0352136,0.0302681,0.00435691,0.0622223,0.00465762,0.00445538,0.00440766,0.100451,0.00919557,0.00657854,0.000931676,0.00840857,0.00671489,0.00526208,0.00853506,0.14128,0.000536282,0.00713831,0.000484775,0.000563551,0.00719057,0.00301091,0.000515073,0.0075746,0.00755188,0.00714361,0.121672,3.18133e-05,0.000693834,0.000491592,0.00707165,0.00805256,0.00505984,0.115782,0.251327
2859,usf4172_RCC_L1_MS_M.jpg,0.00788819,0.0205544,0.0258044,0.00354946,0.0684312,0.00264581,0.00336312,0.00323966,0.120193,0.00448114,0.00461142,0.000741554,0.00792076,0.0043501,0.00424935,0.00761702,0.18175,0.000315104,0.00612785,0.00038176,0.000260566,0.00654294,0.00234964,0.000392364,0.00683457,0.00686865,0.00654749,0.159221,3.63581e-05,0.000816542,0.000298439,0.0082904,0.00599984,0.00516815,0.131585,0.177093,0.00788819,0.0205544,0.0258044,0.00354946,0.0684312,0.00264581,0.00336312,0.00323966,0.120193,0.00448114,0.00461142,0.000741554,0.00792076,0.0043501,0.00424935,0.00761702,0.18175,0.000315104,0.00612785,0.00038176,0.000260566,0.00654294,0.00234964,0.000392364,0.00683457,0.00686865,0.00654749,0.159221,3.63581e-05,0.000816542,0.000298439,0.0082904,0.00599984,0.00516815,0.131585,0.177093,0.00788819,0.0205544,0.0258044,0.00354946,0.0684312,0.00264581,0.00336312,0.00323966,0.120193,0.00448114,0.00461142,0.000741554,0.00792076,0.0043501,0.00424935,0.00761702,0.18175,0.000315104,0.00612785,0.00038176,0.000260566,0.00654294,0.00234964,0.000392364,0.00683457,0.00686865,0.00654749,0.159221,3.63581e-05,0.000816542,0.000298439,0.0082904,0.00599984,0.00516815,0.131585,0.177093
1806,usf1816_RMLO_L1_MS_M.jpg,0.00893955,0.0219762,0.0277624,0.00398576,0.0697356,0.002792,0.00368202,0.00358506,0.117665,0.00484547,0.00468035,0.000737766,0.0075231,0.00470534,0.00457809,0.00745644,0.171556,0.000302227,0.00669974,0.000422663,0.000310559,0.00654219,0.00277079,0.000394637,0.00744356,0.00736252,0.00650128,0.145323,4.24178e-05,0.000745341,0.000346159,0.0072186,0.00627101,0.00509392,0.116307,0.210217,0.00893955,0.0219762,0.0277624,0.00398576,0.0697356,0.002792,0.00368202,0.00358506,0.117665,0.00484547,0.00468035,0.000737766,0.0075231,0.00470534,0.00457809,0.00745644,0.171556,0.000302227,0.00669974,0.000422663,0.000310559,0.00654219,0.00277079,0.000394637,0.00744356,0.00736252,0.00650128,0.145323,4.24178e-05,0.000745341,0.000346159,0.0072186,0.00627101,0.00509392,0.116307,0.210217,0.00893955,0.0219762,0.0277624,0.00398576,0.0697356,0.002792,0.00368202,0.00358506,0.117665,0.00484547,0.00468035,0.000737766,0.0075231,0.00470534,0.00457809,0.00745644,0.171556,0.000302227,0.00669974,0.000422663,0.000310559,0.00654219,0.00277079,0.000394637,0.00744356,0.00736252,0.00650128,0.145323,4.24178e-05,0.000745341,0.000346159,0.0072186,0.00627101,0.00509392,0.116307,0.210217
2786,usf4125_RCC_L1_MS_M.jpg,0.00645281,0.0153613,0.0199591,0.00281094,0.0486062,0.00188077,0.00278897,0.00267308,0.0782525,0.00243296,0.00337752,0.000523405,0.00531207,0.00334343,0.00355097,0.00516285,0.111066,0.000215119,0.00482199,0.000281775,0.000229511,0.00457809,0.00196788,0.000300712,0.00548704,0.00545826,0.00471822,0.101165,2.65111e-05,0.00048023,0.000265869,0.0049144,0.00447886,0.00364869,0.0794031,0.460526,0.00645281,0.0153613,0.0199591,0.00281094,0.0486062,0.00188077,0.00278897,0.00267308,0.0782525,0.00243296,0.00337752,0.000523405,0.00531207,0.00334343,0.00355097,0.00516285,0.111066,0.000215119,0.00482199,0.000281775,0.000229511,0.00457809,0.00196788,0.000300712,0.00548704,0.00545826,0.00471822,0.101165,2.65111e-05,0.00048023,0.000265869,0.0049144,0.00447886,0.00364869,0.0794031,0.460526,0.00645281,0.0153613,0.0199591,0.00281094,0.0486062,0.00188077,0.00278897,0.00267308,0.0782525,0.00243296,0.00337752,0.000523405,0.00531207,0.00334343,0.00355097,0.00516285,0.111066,0.000215119,0.00482199,0.000281775,0.000229511,0.00457809,0.00196788,0.000300712,0.00548704,0.00545826,0.00471822,0.101165,2.65111e-05,0.00048023,0.000265869,0.0049144,0.00447886,0.00364869,0.0794031,0.460526
1781,usf1803_LMLO_L1_CL_B.jpg,0.0124019,0.0335919,0.0344599,0.00469777,0.078301,0.00420239,0.00493637,0.00469322,0.125839,0.00640887,0.00604075,0.000815027,0.00868277,0.00581048,0.00571049,0.00840175,0.167199,0.000445387,0.00745493,0.000452204,0.000474928,0.00751704,0.00315634,0.000460536,0.00821617,0.00831237,0.00765944,0.148914,3.48432e-05,0.000706711,0.000467353,0.00734812,0.00784426,0.00597106,0.12537,0.143524,0.0124019,0.0335919,0.0344599,0.00469777,0.078301,0.00420239,0.00493637,0.00469322,0.125839,0.00640887,0.00604075,0.000815027,0.00868277,0.00581048,0.00571049,0.00840175,0.167199,0.000445387,0.00745493,0.000452204,0.000474928,0.00751704,0.00315634,0.000460536,0.00821617,0.00831237,0.00765944,0.148914,3.48432e-05,0.000706711,0.000467353,0.00734812,0.00784426,0.00597106,0.12537,0.143524,0.0124019,0.0335919,0.0344599,0.00469777,0.078301,0.00420239,0.00493637,0.00469322,0.125839,0.00640887,0.00604075,0.000815027,0.00868277,0.00581048,0.00571049,0.00840175,0.167199,0.000445387,0.00745493,0.000452204,0.000474928,0.00751704,0.00315634,0.000460536,0.00821617,0.00831237,0.00765944,0.148914,3.48432e-05,0.000706711,0.000467353,0.00734812,0.00784426,0.00597106,0.12537,0.143524
