,0,1,2,3,4,5,6,7,8
2030,usf1944_RCC_L1_CL_B.jpg,0.204428,1.0,0.770944,0.159357,0.105197,0.110793,0.11599,0.0347494
2266,usf3103_RMLO_L1_MS_B.jpg,0.206194,1.0,0.782037,0.171441,0.1332,0.121846,0.117974,0.0677147
63,usf0040_LMLO_L1_MS_M.jpg,0.220132,1.0,0.81593,0.199183,0.151276,0.13046,0.136706,0.0838977
454,usf0304_RMLO_L2_CL_B.jpg,0.246539,1.0,0.79899,0.169306,0.136819,0.120947,0.119363,0.0692243
1703,usf1764_RMLO_L1_MS_B.jpg,0.209918,1.0,0.738502,0.158209,0.100602,0.102199,0.121795,0.0355413
770,usf1111_RMLO_L1_MS_M.jpg,0.319898,1.0,0.716649,0.315696,0.207885,0.210936,0.219262,0.16381
2859,usf4172_RCC_L1_MS_M.jpg,0.226821,1.0,0.766834,0.16638,0.10438,0.116007,0.118599,0.0382413
1806,usf1816_RMLO_L1_MS_M.jpg,0.269988,1.0,0.783721,0.20753,0.183023,0.161687,0.178819,0.101805
2786,usf4125_RCC_L1_MS_M.jpg,0.505219,1.0,0.842849,0.462849,0.430579,0.434711,0.438532,0.390001
1781,usf1803_LMLO_L1_CL_B.jpg,0.220564,1.0,0.759959,0.194499,0.107742,0.126048,0.118029,0.0449724
1873,usf1857_RCC_L1_MS_B.jpg,0.212506,1.0,0.596002,0.282129,0.0774774,0.10705,0.112043,0.0596437
2417,usf3438_LCC_L1_CL_B.jpg,0.358671,1.0,0.84065,0.335067,0.304116,0.281272,0.295021,0.241481
2258,usf3088_LMLO_L1_MS_M.jpg,0.228369,1.0,0.830379,0.183577,0.149612,0.131915,0.135168,0.0749524
842,usf1154_LCC_L1_MS_M.jpg,0.178554,1.0,0.705676,0.185431,0.0901662,0.111876,0.117596,0.0367744
2820,usf4148_RCC_L1_MS_M.jpg,0.227382,1.0,0.599199,0.278583,0.0779343,0.104934,0.113557,0.0655669
909,usf1204_LMLO_L1_MS_M.jpg,0.225941,1.0,0.66581,0.189452,0.0815204,0.105345,0.103141,0.0464347
2445,usf3467_LCC_L1_CL_B.jpg,0.261541,1.0,0.810804,0.187473,0.164691,0.128242,0.137511,0.0863867
2140,usf3029_LMLO_L5_CL_M.jpg,0.166947,1.0,0.795486,0.201218,0.146102,0.133045,0.139429,0.081022
765,usf1108_LCC_L1_CL_M.jpg,0.206063,1.0,0.728435,0.188965,0.100626,0.117906,0.108853,0.0417647
2765,usf4114_LMLO_L1_MS_M.jpg,0.21198,1.0,0.624852,0.329175,0.0886145,0.114008,0.122437,0.0761125
289,usf0191_LCC_L1_MS_M.jpg,0.34771,1.0,0.818709,0.365214,0.324549,0.315264,0.319975,0.273398
949,usf1234_RMLO_L1_MS_M.jpg,0.228344,1.0,0.732613,0.160729,0.0950011,0.103488,0.113332,0.0391894
