,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
1861,usf1848_LCC_L1_MS_M.jpg,1.0,0.666667,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482143,0.0,0.0,0.0,0.964286,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.482143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0,0.0,0.27381,0.544271,0.272135,0.120536,0.09375,0.27381,0.544271,0.272135,0.203869,0.09375,0.27381,0.664807,0.272135,0.203869,0.09375,0.514881,0.25,0.166667,0.0,0.0,0.166667,0.25,0.166667,0.0,0.0,0.166667,0.460938,0.272135,0.0,0.0,0.166667,0.671875,0.377604,0.0,0.0,0.166667,0.460938,0.272135,0.0,0.0,0.166667,0.120536,0.0,0.0,0.0,0.241071,0.0833333,0.0,0.120536,0.09375,0.107143,0.0,0.0,0.0833333,0.0,0.0,0.210938,0.105469,0.0833333,0.09375,0.0,0.103702,0.0263672,0.0718006,0.046875,0.0870536
827,usf1145_LMLO_L1_CL_M.jpg,0.0,0.0538883,0.0,0.0179628,0.0179628,0.0,0.10104,0.0,0.0202081,0.0,0.0,0.287404,0.0179628,0.0179628,0.0538883,0.023095,0.438804,0.0461899,0.0923799,0.023095,0.0,0.0202081,0.42437,0.0,0.0,0.0909364,0.341012,0.136405,0.0454682,0.136405,0.0404162,0.383954,0.121249,0.10104,0.0202081,0.0259818,0.103927,0.259818,0.155891,0.155891,0.0538883,0.0538883,0.233516,0.0359255,0.071851,0.0202081,0.121249,0.0404162,0.0202081,0.0808324,0.0,0.0,0.0898138,0.0179628,0.0359255,0.023095,0.023095,0.0461899,0.0,0.0,0.0692849,0.0,0.13857,0.023095,0.023095,0.0779455,0.0519637,0.181873,0.0259818,0.155891,0.0461899,0.0461899,0.0461899,0.0,0.0,0.0,0.0296935,0.0,0.0,0.0593871,0.0307933,0.0319962,0.199114,0.0192458,0.0282272,0.0780658,0.185812,0.288787,0.0472124,0.121509,0.0997173,0.365199,0.357591,0.0814539,0.149015,0.11776,0.514079,0.445641,0.143522,0.208608,0.00577374,0.220284,0.0160382,0.0371284,0.0237365,0.0115475,0.432149,0.138169,0.069766,0.0429823,0.0400553,0.704006,0.294401,0.108719,0.0963293,0.0786672,1.0,0.476454,0.168441,0.141256,0.0227341,0.129037,0.140194,0.0209098,0.0385918,0.0223732,0.303522,0.111305,0.0918185,0.0632706,0.0553317,0.0567751,0.148594,0.0263026,0.0829173,0.0173212,0.0247446,0.0455484,0.00449069,0.0238281,0.0378902,0.211553,0.0969708,0.0461699,0.0683427,0.0332291,0.149149,0.100604,0.0421954,0.0595897
3061,4151208.jpg,0.00685518,0.00342759,0.215938,0.0479863,0.00342759,0.0137104,0.0,0.246787,0.017138,0.0,0.0308483,0.00342759,0.243359,0.0,0.0,0.0308483,0.0,0.246787,0.0,0.0,0.0,0.0308483,0.246787,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0411311,0.0102828,0.219366,0.00685518,0.0,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.119537,0.0,0.0539846,0.0115681,0.00385604,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0418809,0.0111397,0.184019,0.0166024,0.00182091,0.0453085,0.0111397,0.453942,0.0208869,0.00182091,0.0530206,0.0119966,0.723008,0.0208869,0.00182091,0.0607326,0.0119966,0.992931,0.0208869,0.00182091,0.0205656,0.0017138,0.238218,0.0162811,0.000856898,0.0394173,0.0102828,0.484147,0.0205656,0.000856898,0.0548415,0.0188518,0.737789,0.0205656,0.000856898,0.0625536,0.0265638,1.0,0.0205656,0.000856898,0.00514139,0.00856898,0.246787,0.0162811,0.000856898,0.0154242,0.000856898,0.261354,0.0,0.0,0.0401671,0.00257069,0.207155,0.00460583,0.00096401,0.0,0.0,0.277635,0.0,0.0,0.0,0.0,0.277635,0.0,0.0,0.0138978,0.000856898,0.255945,0.00115146,0.000241003
2926,mdb110_35.png,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0526316,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0526316,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0526316,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0526316,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0526316,0.0,0.0,0.0526316,0.0,0.526316,0.0,0.0,0.0526316,0.0,1.0,0.0,0.0,0.0131579,0.0,0.25,0.0,0.0,0.0263158,0.0,0.5,0.0,0.0,0.0394737,0.0,0.75,0.0,0.0,0.0526316,0.0,1.0,0.0,0.0,0.0263158,0.0,0.0263158,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0263158,0.0,0.0263158,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.0263158,0.0,0.263158,0.0,0.0,0.0131579,0.0,0.309211,0.0,0.0
228,usf0156_RMLO_L1_MS_M.jpg,0.109075,0.0363585,0.145434,0.0,0.0,0.613549,0.0,0.0,0.163613,0.0818066,0.286323,0.0,0.0818066,0.0,0.12271,0.0409033,0.0,0.0,0.0,0.204516,0.0409033,0.0,0.0409033,0.0,0.0,0.644227,0.0460162,0.138049,0.0920324,0.276097,0.230081,0.138049,0.0920324,0.184065,0.0460162,0.0,0.0920324,0.0920324,0.0,0.0,0.12271,0.0,0.0409033,0.0,0.0,0.276097,0.0920324,0.0460162,0.138049,0.0460162,0.230081,0.138049,0.36813,0.0920324,0.0460162,0.0460162,0.0,0.0,0.0,0.0,0.163613,0.0,0.0,0.0,0.0409033,0.276097,0.0,0.0460162,0.0,0.0460162,0.0460162,0.0,0.0,0.0,0.0460162,0.0460162,0.0,0.0,0.0,0.0460162,0.109075,0.00908962,0.0568101,0.0,0.0102258,0.561568,0.0436018,0.11433,0.0984235,0.12271,0.759693,0.112626,0.249822,0.167448,0.187899,0.792927,0.135634,0.272831,0.167448,0.250533,0.262463,0.00908962,0.0568101,0.0409033,0.102258,0.507882,0.00908962,0.0874876,0.0818066,0.204516,0.760971,0.0205937,0.152677,0.104815,0.355347,1.0,0.0666099,0.220423,0.173839,0.487005,0.351939,0.0205937,0.0810964,0.0639114,0.0894759,0.139327,0.0575202,0.0664678,0.0460162,0.0933106,0.209629,0.0230081,0.0332339,0.0345121,0.0332339,0.0920324,0.0345121,0.0920324,0.0230081,0.0345121,0.345121,0.103536,0.161057,0.126545,0.103536,0.196527,0.0546442,0.0881977,0.0575202,0.0661483
1540,usf1671_RMLO_L1_CL_M.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245879,0.0245879,0.0,0.0491758,0.0245879,0.063226,0.0,0.0,0.0,0.0,0.0,0.0553227,0.0,0.0829841,0.0553227,0.0933571,0.0622381,0.031119,0.0622381,0.0622381,0.0553227,0.0276614,0.0553227,0.0829841,0.0829841,0.0,0.0355646,0.0,0.0,0.0355646,0.0,0.0983515,0.0,0.295055,0.0245879,0.0829841,0.414921,0.0553227,0.19363,0.0276614,0.0245879,0.295055,0.0,0.319642,0.122939,0.0,0.663873,0.094839,0.094839,0.094839,0.031613,0.63226,0.0,0.379356,0.094839,0.0,0.497905,0.0355646,0.640163,0.0,0.0,0.663873,0.063226,0.158065,0.031613,0.0,0.528389,0.0812906,0.0,0.0,0.00790325,0.196484,0.0,0.189349,0.0436874,0.0519886,0.440249,0.0305016,0.413356,0.0661623,0.0781132,0.693043,0.0601388,0.565823,0.131693,0.0939197,1.0,0.104171,0.589533,0.164294,0.0219535,0.00614697,0.0,0.0122939,0.00614697,0.0439069,0.0261246,0.0,0.0453339,0.0261246,0.0891997,0.0616618,0.00777976,0.0939334,0.0616618,0.142176,0.0979673,0.0293902,0.150985,0.111798,0.0233393,0.0293902,0.00777976,0.0363055,0.0293902,0.0357842,0.0219535,0.0138307,0.03304,0.0357842,0.0286493,0.410859,0.0227218,0.377051,0.0367721,0.00614697,0.537797,0.0598389,0.143137,0.0623478,0.064063,0.199969,0.0354411,0.164624,0.0739557,0.0336608,0.292645,0.0329581,0.179463,0.0522149
2977,mdb218_87.png,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
3172,5114304.jpg,0.0,0.00315586,0.252469,0.0,0.0,0.0189351,0.0,0.236689,0.0,0.0,0.0284027,0.0,0.227222,0.0,0.0,0.0284027,0.0,0.227222,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.00710068,0.248524,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.00399413,0.0,0.25163,0.0,0.0,0.0,0.00256413,0.25306,0.0,0.0,0.00473379,0.00256413,0.503951,0.0,0.0,0.0118345,0.00256413,0.752475,0.0,0.0,0.0199337,0.00256413,1.0,0.0,0.0,0.0189351,0.000788964,0.2359,0.0,0.0,0.0378703,0.000788964,0.47259,0.0,0.0,0.0520716,0.000788964,0.714013,0.0,0.0,0.0591723,0.000788964,0.962537,0.0,0.0,0.00473379,0.000788964,0.250102,0.0,0.0,0.0142014,0.0,0.241423,0.0,0.0,0.0,0.00177517,0.253849,0.0,0.0,0.000998533,0.0,0.254626,0.0,0.0,0.0,0.0,0.255624,0.0,0.0,0.00379997,0.000443792,0.251381,0.0,0.0
406,usf0274_LMLO_L1_MS_B.jpg,0.0,0.041337,0.0,0.165348,0.124011,0.0,0.186016,0.0465041,0.139512,0.0930082,0.0465041,0.0930082,0.232521,0.232521,0.418537,0.139512,0.0930082,0.0930082,0.186016,0.0930082,0.0465041,0.139512,0.0465041,0.0465041,0.0465041,0.209269,0.261586,0.261586,0.156951,0.104634,0.0523171,0.313903,0.104634,0.313903,0.313903,0.0523171,0.627806,0.104634,0.261586,0.209269,0.0,0.0465041,0.0,0.0465041,0.0465041,0.104634,0.36622,0.0,0.575488,0.104634,0.209269,0.837074,0.156951,0.209269,0.104634,0.313903,0.575488,0.209269,0.73244,0.418537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418537,0.104634,0.156951,0.104634,0.011626,0.0568384,0.011626,0.0645891,0.0542548,0.0901017,0.260294,0.0886485,0.282577,0.129824,0.167124,0.57129,0.212175,0.4715,0.339093,0.293557,1.0,0.340061,0.805748,0.545455,0.0465041,0.103342,0.0930082,0.180849,0.182141,0.104634,0.231229,0.197642,0.331988,0.344906,0.215082,0.378007,0.356047,0.487486,0.510576,0.326982,0.58001,0.48248,0.66333,0.650089,0.0639432,0.157113,0.0886485,0.127079,0.0920394,0.0726627,0.281931,0.133699,0.248506,0.258679,0.0261586,0.103181,0.0,0.155498,0.0377846,0.130793,0.457775,0.117714,0.274665,0.156951,0.143872,0.444696,0.130793,0.313903,0.156951,0.0933715,0.321896,0.0955514,0.248143,0.152592
381,usf0253_RMLO_L1_CL_B.jpg,0.0,0.0,0.0759531,0.0,0.0379766,0.427236,0.213618,0.128171,0.384513,0.170895,0.555407,0.0854473,0.170895,0.427236,0.0854473,0.0854473,0.0,0.0,0.128171,0.0,0.0427236,0.0,0.170895,0.0,0.128171,0.192256,0.144192,0.0961282,0.0,0.0961282,0.624833,0.0480641,0.0961282,0.192256,0.192256,0.384513,0.0480641,0.0,0.480641,0.0961282,0.0427236,0.0,0.0427236,0.0427236,0.0,0.0961282,0.0,0.0,0.0480641,0.0,0.24032,0.0,0.0480641,0.0,0.0,0.624833,0.0,0.0480641,0.0,0.0,0.0,0.0,0.128171,0.0,0.299065,0.0,0.0,0.0961282,0.0961282,0.192256,0.144192,0.144192,0.0480641,0.0,0.192256,0.192256,0.0,0.0961282,0.0,0.0,0.0213618,0.0,0.104436,0.0106809,0.116303,0.200267,0.0894526,0.184542,0.142857,0.231123,0.591455,0.158879,0.27533,0.29773,0.348613,0.913218,0.170895,0.311378,0.449933,0.372645,0.267023,0.0747664,0.0937546,0.23498,0.0735796,0.544726,0.149533,0.211245,0.46996,0.169708,0.763685,0.206943,0.320724,0.608812,0.247144,1.0,0.255007,0.411512,0.688919,0.351283,0.165554,0.0894526,0.117787,0.0961282,0.108293,0.41255,0.0453939,0.0667557,0.307076,0.0934579,0.034713,0.0,0.0667557,0.046729,0.12283,0.300401,0.0360481,0.0600801,0.0,0.0480641,0.288385,0.0480641,0.0600801,0.0600801,0.0720961,0.259012,0.0323765,0.0634179,0.103471,0.0841121
