,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1861,usf1848_LCC_L1_MS_M.jpg,2.60974e-13,2.51808e-13,2.51998e-13,2.7092e-13,1.73051e-12,1.65672e-12,1.65836e-12,1.81111e-12,2.58891e-11,2.41e-11,2.41513e-11,2.79047e-11,0.934841,0.886091,0.889482,1.0
827,usf1145_LMLO_L1_CL_M.jpg,8.57121e-14,1.42559e-13,1.25193e-13,6.41181e-14,6.01469e-13,1.08251e-12,9.27578e-13,4.24514e-13,1.19387e-11,2.7557e-11,2.13442e-11,6.98137e-12,0.248779,1.0,0.771598,0.132739
3061,4151208.jpg,5.67734e-11,7.74733e-11,5.27088e-11,5.0326e-11,3.88806e-10,5.63921e-10,3.6861e-10,3.37503e-10,6.71972e-09,1.20881e-08,6.96248e-09,5.50276e-09,0.420205,1.0,0.54811,0.329637
2926,mdb110_35.png,2.38488e-09,2.32425e-09,3.60424e-11,8.301e-11,1.81018e-08,1.75562e-08,2.59e-10,6.17009e-10,4.59782e-07,4.36944e-07,5.25034e-09,1.44943e-08,0.996611,1.0,0.000225915,0.00121419
228,usf0156_RMLO_L1_MS_M.jpg,3.20405e-13,3.22072e-13,3.0936e-13,2.88724e-13,2.297e-12,2.31239e-12,2.20254e-12,2.02796e-12,4.62412e-11,4.68381e-11,4.30896e-11,3.78129e-11,0.908342,1.0,0.897015,0.736948
1540,usf1671_RMLO_L1_CL_M.jpg,1.8849e-13,1.58896e-13,1.09882e-13,1.84148e-13,1.3582e-12,1.11828e-12,7.3493e-13,1.32079e-12,2.78378e-11,2.17662e-11,1.21476e-11,2.6584e-11,1.0,0.929847,0.51665,0.957435
2977,mdb218_87.png,3.93763e-06,4.19283e-06,4.27913e-06,3.983e-06,2.91806e-05,3.14523e-05,3.22237e-05,2.9581e-05,0.000670326,0.000760216,0.000791361,0.00068548,0.669887,1.0,0.795172,0.902152
3172,5114304.jpg,7.33004e-11,6.70133e-11,8.27269e-11,8.92457e-11,5.07396e-10,4.58769e-10,5.87834e-10,6.42185e-10,8.99847e-09,7.99387e-09,1.15055e-08,1.31478e-08,0.640908,0.715856,0.990912,1.0
406,usf0274_LMLO_L1_MS_B.jpg,2.85936e-13,2.04808e-13,1.5642e-13,2.51088e-13,2.13054e-12,1.44388e-12,1.03937e-12,1.82456e-12,5.01338e-11,2.85088e-11,1.63647e-11,3.88191e-11,1.0,0.69236,0.387959,0.819236
381,usf0253_RMLO_L1_CL_B.jpg,1.79056e-13,2.27577e-13,2.70697e-13,2.71705e-13,1.24376e-12,1.64848e-12,2.02339e-12,2.03234e-12,2.30208e-11,3.49072e-11,4.8166e-11,4.86055e-11,0.377547,0.704752,1.0,0.985587
1338,usf1543_LCC_L1_MS_B.jpg,4.75858e-14,1.90139e-13,1.56317e-13,1.51504e-14,2.94499e-13,1.37589e-12,1.09929e-12,7.77193e-14,3.98635e-12,2.87208e-11,2.10487e-11,7.28693e-13,0.0232819,1.0,0.585593,0.00228209
410,usf0277_LCC_L1_MS_B.jpg,2.81299e-13,2.3806e-13,1.44296e-13,2.46079e-13,2.08191e-12,1.7078e-12,9.42966e-13,1.7768e-12,4.76269e-11,3.46579e-11,1.43171e-11,3.70209e-11,1.0,0.774348,0.314669,0.796018
405,usf0274_LCC_L1_MS_B.jpg,1.83436e-13,2.52299e-13,2.60933e-13,1.84813e-13,1.35646e-12,1.88413e-12,1.96085e-12,1.36859e-12,3.09274e-11,4.48382e-11,4.78519e-11,3.14025e-11,0.362717,0.943935,1.0,0.368237
1733,usf1779_RMLO_L1_MS_B.jpg,1.94662e-13,1.98622e-13,1.97938e-13,1.99273e-13,1.37933e-12,1.41347e-12,1.40731e-12,1.41924e-12,2.65284e-11,2.76756e-11,2.74284e-11,2.78938e-11,0.921582,0.955866,0.971442,1.0
1674,usf1750_LCC_L1_MS_B.jpg,1.16537e-13,1.81275e-13,1.77e-13,9.19221e-14,7.83155e-13,1.32656e-12,1.29055e-12,5.91685e-13,1.26229e-11,2.90069e-11,2.79387e-11,8.38676e-12,0.354392,1.0,0.921388,0.203067
643,usf0392_RMLO_L1_CL_B.jpg,3.23422e-13,3.4601e-13,3.3839e-13,3.15518e-13,2.27818e-12,2.47197e-12,2.40626e-12,2.21145e-12,4.27538e-11,4.90255e-11,4.68134e-11,4.07273e-11,0.869546,1.0,0.965997,0.821929
2433,usf3460_LCC_L1_CL_B.jpg,3.18957e-13,1.88528e-13,1.4072e-13,3.05397e-13,2.31509e-12,1.24895e-12,8.65973e-13,2.20241e-12,4.90115e-11,2.02041e-11,1.07385e-11,4.57499e-11,0.975269,0.480449,0.2314,1.0
377,usf0251_RMLO_L1_MS_B.jpg,1.52609e-13,1.86765e-13,2.00683e-13,2.57891e-13,1.04974e-12,1.40066e-12,1.52273e-12,1.94861e-12,1.89026e-11,3.41626e-11,3.86766e-11,4.85956e-11,0.311153,0.740915,0.888975,1.0
1884,usf1863_RCC_L1_MS_B.jpg,2.03215e-13,2.0195e-13,1.9283e-13,2.05545e-13,1.4308e-12,1.42017e-12,1.34443e-12,1.45104e-12,2.67716e-11,2.6457e-11,2.43288e-11,2.7473e-11,0.966764,0.94662,0.884489,1.0
1160,usf1441_LCC_L1_CL_B.jpg,1.61949e-13,1.35652e-13,1.39291e-13,1.45936e-13,1.19469e-12,1.00218e-12,1.03417e-12,1.06016e-12,2.69876e-11,2.28307e-11,2.40099e-11,2.29804e-11,1.0,0.885326,0.944238,0.7159
3139,5110343.jpg,5.38156e-11,6.84684e-11,8.42647e-11,7.12756e-11,3.52565e-10,4.68305e-10,5.98434e-10,4.8955e-10,5.42782e-09,8.06464e-09,1.17196e-08,8.53886e-09,0.269038,0.727493,1.0,0.564666
2878,usf4189_LCC_L1_CL_M.jpg,1.81191e-13,1.69034e-13,1.90143e-13,1.95858e-13,1.28153e-12,1.17961e-12,1.35851e-12,1.4075e-12,2.44364e-11,2.14446e-11,2.69962e-11,2.86004e-11,0.873182,0.802547,1.0,0.985511
2794,usf4129_RMLO_L1_MS_M.jpg,8.3669e-14,8.5715e-14,1.12349e-13,1.61966e-13,5.61913e-13,6.2147e-13,8.56665e-13,1.22041e-12,9.49885e-12,1.31939e-11,2.21998e-11,3.03299e-11,0.219818,0.503592,0.881178,1.0
2480,usf3490_RMLO_L1_MS_B.jpg,2.77924e-13,2.71663e-13,2.74737e-13,2.78037e-13,2.05242e-12,1.99829e-12,2.02592e-12,2.05529e-12,4.65192e-11,4.45923e-11,4.57325e-11,4.69779e-11,0.964561,0.943743,1.0,0.906954
1791,usf1809_LCC_L1_CL_B.jpg,1.37935e-13,1.36613e-13,8.97875e-14,3.07861e-14,9.92893e-13,1.03739e-12,6.5091e-13,1.68334e-13,2.09595e-11,2.67476e-11,1.55861e-11,1.82613e-12,0.55411,1.0,0.384861,0.0206795
3000,mdb264_110.png,8.70923e-09,9.55067e-09,1.17417e-08,1.02141e-08,6.04448e-08,6.7358e-08,8.60648e-08,7.29058e-08,1.09712e-06,1.28518e-06,1.89069e-06,1.44843e-06,0.499371,0.730683,1.0,0.726478
2071,usf3002_LMLO_L1_MS_B.jpg,2.02392e-13,7.28193e-14,1.39759e-13,2.4059e-13,1.50093e-12,4.52178e-13,9.81582e-13,1.83492e-12,3.52475e-11,6.51995e-12,1.9569e-11,4.75875e-11,0.778241,0.129649,0.486981,1.0
428,usf0284_RCC_L1_MS_B.jpg,2.05946e-13,2.39407e-13,2.6324e-13,2.74404e-13,1.46932e-12,1.73977e-12,1.94754e-12,2.04851e-12,3.06182e-11,3.72843e-11,4.47239e-11,4.9068e-11,0.450969,0.821458,1.0,0.891965
636,usf0390_RMLO_L1_MS_B.jpg,1.17602e-13,1.80205e-13,2.88069e-13,2.39274e-13,7.32267e-13,1.22017e-12,2.12594e-12,1.71403e-12,9.14075e-12,2.06162e-11,4.80518e-11,3.54046e-11,0.136359,0.376221,1.0,0.595174
1457,usf1614_RMLO_L1_CL_M.jpg,1.67636e-13,1.7563e-13,1.88654e-13,1.81198e-13,1.16848e-12,1.23644e-12,1.34779e-12,1.28483e-12,2.1092e-11,2.32202e-11,2.68413e-11,2.49246e-11,0.731257,0.818564,1.0,0.847223
2316,usf3362_RCC_L1_CL_B.jpg,3.55942e-13,3.51841e-13,3.4215e-13,3.2534e-13,2.52104e-12,2.48681e-12,2.40458e-12,2.26604e-12,4.83068e-11,4.72363e-11,4.46786e-11,4.09673e-11,1.0,0.969662,0.928963,0.799377
248,usf0166_RMLO_L1_MS_M.jpg,2.32147e-13,2.20139e-13,1.73873e-13,1.52805e-13,1.80301e-12,1.69338e-12,1.28078e-12,1.10569e-12,5.06803e-11,4.56358e-11,2.9053e-11,2.422e-11,1.0,0.992968,0.611027,0.385161
1,usf0001_RMLO_L1_MS_M.jpg,2.50152e-13,2.34229e-13,2.2906e-13,1.97242e-13,1.90381e-12,1.76098e-12,1.71521e-12,1.44124e-12,4.89819e-11,4.30077e-11,4.12457e-11,3.20592e-11,1.0,0.920038,0.860127,0.552938
2882,usf4195_LCC_L1_CL_B.jpg,1.83918e-13,1.91457e-13,1.4333e-13,1.64745e-13,1.315e-12,1.38025e-12,9.86165e-13,1.15362e-12,2.6131e-11,2.83698e-11,1.75783e-11,2.12741e-11,0.937677,1.0,0.604202,0.771009
547,usf0355_LMLO_L1_CL_B.jpg,1.95934e-13,1.59803e-13,2.37728e-13,2.17721e-13,1.44886e-12,1.14563e-12,1.82274e-12,1.64117e-12,3.31929e-11,2.40481e-11,4.83678e-11,4.05097e-11,0.670163,0.518715,1.0,0.814504
1564,usf1684_LCC_L1_CL_B.jpg,7.01862e-14,1.76272e-13,1.55128e-13,2.65252e-14,4.62398e-13,1.2844e-12,1.10579e-12,1.48106e-13,7.75063e-12,2.7577e-11,2.19808e-11,1.69181e-12,0.0712137,1.0,0.707539,0.00857824
