,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1861,usf1848_LCC_L1_MS_M.jpg,1.50867e-07,1.55492e-07,1.16812e-07,1.56678e-07,-5.20182e-06,-5.18373e-06,-5.22991e-06,-5.183e-06,0.935176,0.922564,1.0,0.920698,8.05146e-07,8.00553e-07,8.22191e-07,7.99978e-07,1.50918e-07,1.55594e-07,1.16915e-07,1.56831e-07,1.50823e-07,1.55399e-07,1.1672e-07,1.56536e-07
827,usf1145_LMLO_L1_CL_M.jpg,5.19209e-07,5.60071e-07,4.21708e-07,5.9459e-07,-1.86169e-05,-1.85175e-05,-1.8688e-05,-1.84838e-05,0.978617,0.950901,1.0,0.937215,3.29294e-06,3.2632e-06,3.33424e-06,3.24655e-06,5.47814e-07,5.88605e-07,4.27816e-07,6.24977e-07,4.93432e-07,5.34488e-07,4.16833e-07,5.67327e-07
3061,4151208.jpg,5.89028e-05,0.000102338,5.36724e-05,9.59563e-05,-0.000360556,-0.000349828,-0.000361341,-0.000353688,0.998613,0.861248,1.0,0.927132,8.38362e-05,7.91897e-05,8.42678e-05,8.13299e-05,0.000370157,0.000665473,0.000312772,0.000663237,1.75686e-05,2.25581e-05,1.70209e-05,1.93153e-05
2926,mdb110_35.png,0.000569669,0.000554624,1.38622e-05,0.000553292,-0.000557246,-0.000537768,-0.000567519,-0.000538427,0.940663,0.871846,1.0,0.879116,0.000141364,0.000135827,0.000146549,0.000136476,0.00609438,0.0059147,1.40171e-05,0.00591351,1.3611e-05,1.61564e-05,1.37169e-05,1.48856e-05
228,usf0156_RMLO_L1_MS_M.jpg,1.9693e-07,2.09578e-07,1.78655e-07,2.11916e-07,-8.42319e-06,-8.38261e-06,-8.44046e-06,-8.38109e-06,0.980226,0.959757,1.0,0.957152,1.40436e-06,1.39362e-06,1.41349e-06,1.39244e-06,1.97285e-07,2.10224e-07,1.78993e-07,2.12526e-07,1.96637e-07,2.0903e-07,1.78376e-07,2.11398e-07
1540,usf1671_RMLO_L1_CL_M.jpg,3.49127e-07,3.98441e-07,2.91318e-07,3.78148e-07,-1.15471e-05,-1.14704e-05,-1.15891e-05,-1.14873e-05,0.982742,0.93952,1.0,0.955214,1.98092e-06,1.9526e-06,2.00401e-06,1.96186e-06,3.72679e-07,4.28522e-07,2.97421e-07,4.05023e-07,3.2716e-07,3.71178e-07,2.85691e-07,3.53247e-07
2977,mdb218_87.png,0.00169874,0.00250282,0.00223668,0.00147791,-0.0138013,-0.0107007,-0.0135629,-0.0111787,1.0,0.604742,0.892152,0.733439,0.00592673,0.00455075,0.00565021,0.00491975,0.00181199,0.00309172,0.00232728,0.00163646,0.00159257,0.00195073,0.00215174,0.00132927
3172,5114304.jpg,2.83685e-05,5.14508e-05,3.57658e-05,5.44e-05,-0.000267284,-0.000262654,-0.000268191,-0.000260499,0.970139,0.918344,1.0,0.852149,5.96042e-05,5.78239e-05,6.00073e-05,5.65153e-05,0.000103603,0.000259521,0.000169572,0.000260881,1.42703e-05,1.53216e-05,1.33261e-05,1.77316e-05
406,usf0274_LMLO_L1_MS_B.jpg,6.95238e-07,8.07584e-07,6.98863e-07,7.47504e-07,-2.575e-05,-2.55532e-05,-2.57469e-05,-2.56102e-05,1.0,0.947314,0.999484,0.971745,4.64531e-06,4.57427e-06,4.64353e-06,4.60424e-06,6.95262e-07,8.07917e-07,6.98979e-07,7.47636e-07,6.95215e-07,8.07272e-07,6.98754e-07,7.4738e-07
381,usf0253_RMLO_L1_CL_B.jpg,3.97594e-07,4.21621e-07,3.6883e-07,4.38539e-07,-1.54521e-05,-1.53757e-05,-1.54809e-05,-1.53628e-05,0.984553,0.96659,1.0,0.947514,2.71204e-06,2.6914e-06,2.72641e-06,2.68284e-06,3.97645e-07,4.21964e-07,3.68856e-07,4.38602e-07,3.97546e-07,4.21299e-07,3.68806e-07,4.3848e-07
