,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
1861,usf1848_LCC_L1_MS_M.jpg,0.0156976,0.0742198,0.0373239,0.0048682,0.0548909,0.0102348,0.00678306,0.00660505,0.101683,0.0273239,0.0120497,0.00128238,0.0122792,0.01183,0.00536661,0.0120588,0.124189,0.00110816,0.00755415,0.000649144,0.000990001,0.00932282,0.00321618,0.000669595,0.0070262,0.00707544,0.00945992,0.0995954,3.33283e-05,0.000643841,0.000879412,0.00773973,0.0116543,0.00556506,0.149074,0.155579,0.0156976,0.0742198,0.0373239,0.0048682,0.0548909,0.0102348,0.00678306,0.00660505,0.101683,0.0273239,0.0120497,0.00128238,0.0122792,0.01183,0.00536661,0.0120588,0.124189,0.00110816,0.00755415,0.000649144,0.000990001,0.00932282,0.00321618,0.000669595,0.0070262,0.00707544,0.00945992,0.0995954,3.33283e-05,0.000643841,0.000879412,0.00773973,0.0116543,0.00556506,0.149074,0.155579,0.0156976,0.0742198,0.0373239,0.0048682,0.0548909,0.0102348,0.00678306,0.00660505,0.101683,0.0273239,0.0120497,0.00128238,0.0122792,0.01183,0.00536661,0.0120588,0.124189,0.00110816,0.00755415,0.000649144,0.000990001,0.00932282,0.00321618,0.000669595,0.0070262,0.00707544,0.00945992,0.0995954,3.33283e-05,0.000643841,0.000879412,0.00773973,0.0116543,0.00556506,0.149074,0.155579
827,usf1145_LMLO_L1_CL_M.jpg,0.0138259,0.0503438,0.0298803,0.00410241,0.0659748,0.00622708,0.00499621,0.00504469,0.121744,0.0142986,0.00642705,0.000926374,0.00860702,0.00625814,0.00431071,0.00849719,0.156817,0.000594606,0.00607559,0.000420391,0.000715043,0.00801469,0.00240797,0.000428723,0.00638312,0.00660202,0.0078488,0.133519,4.01454e-05,0.000801393,0.000584002,0.00770413,0.00926374,0.00626344,0.139915,0.150659,0.0138259,0.0503438,0.0298803,0.00410241,0.0659748,0.00622708,0.00499621,0.00504469,0.121744,0.0142986,0.00642705,0.000926374,0.00860702,0.00625814,0.00431071,0.00849719,0.156817,0.000594606,0.00607559,0.000420391,0.000715043,0.00801469,0.00240797,0.000428723,0.00638312,0.00660202,0.0078488,0.133519,4.01454e-05,0.000801393,0.000584002,0.00770413,0.00926374,0.00626344,0.139915,0.150659,0.0138259,0.0503438,0.0298803,0.00410241,0.0659748,0.00622708,0.00499621,0.00504469,0.121744,0.0142986,0.00642705,0.000926374,0.00860702,0.00625814,0.00431071,0.00849719,0.156817,0.000594606,0.00607559,0.000420391,0.000715043,0.00801469,0.00240797,0.000428723,0.00638312,0.00660202,0.0078488,0.133519,4.01454e-05,0.000801393,0.000584002,0.00770413,0.00926374,0.00626344,0.139915,0.150659
3061,4151208.jpg,0.007392,0.021184,0.029136,0.001792,0.085008,0.002288,0.002112,0.002288,0.198192,0.004784,0.004048,0.000432,0.004896,0.004464,0.002848,0.005024,0.238672,0.000128,0.005616,0.000128,0.000112,0.00416,0.001264,9.6e-05,0.00424,0.003984,0.004304,0.129984,3.2e-05,0.000336,4.8e-05,0.003824,0.004048,0.003056,0.085184,0.11896,0.007392,0.021184,0.029136,0.001792,0.085008,0.002288,0.002112,0.002288,0.198192,0.004784,0.004048,0.000432,0.004896,0.004464,0.002848,0.005024,0.238672,0.000128,0.005616,0.000128,0.000112,0.00416,0.001264,9.6e-05,0.00424,0.003984,0.004304,0.129984,3.2e-05,0.000336,4.8e-05,0.003824,0.004048,0.003056,0.085184,0.11896,0.007392,0.021184,0.029136,0.001792,0.085008,0.002288,0.002112,0.002288,0.198192,0.004784,0.004048,0.000432,0.004896,0.004464,0.002848,0.005024,0.238672,0.000128,0.005616,0.000128,0.000112,0.00416,0.001264,9.6e-05,0.00424,0.003984,0.004304,0.129984,3.2e-05,0.000336,4.8e-05,0.003824,0.004048,0.003056,0.085184,0.11896
2926,mdb110_35.png,0.017061,0.024696,0.0275238,0.00574984,0.0372325,0.00499576,0.00763503,0.00697521,0.0482609,0.00226223,0.00358186,0.00254501,0.0083891,0.00471298,0.00565558,0.00848336,0.0586295,0.00141389,0.00509002,0.00160241,0.00188519,0.0083891,0.00150815,0.00169667,0.00518428,0.00480724,0.00782355,0.0476011,9.42596e-05,0.00235649,0.00160241,0.0121595,0.00923744,0.0039589,0.0575926,0.513149,0.017061,0.024696,0.0275238,0.00574984,0.0372325,0.00499576,0.00763503,0.00697521,0.0482609,0.00226223,0.00358186,0.00254501,0.0083891,0.00471298,0.00565558,0.00848336,0.0586295,0.00141389,0.00509002,0.00160241,0.00188519,0.0083891,0.00150815,0.00169667,0.00518428,0.00480724,0.00782355,0.0476011,9.42596e-05,0.00235649,0.00160241,0.0121595,0.00923744,0.0039589,0.0575926,0.513149,0.017061,0.024696,0.0275238,0.00574984,0.0372325,0.00499576,0.00763503,0.00697521,0.0482609,0.00226223,0.00358186,0.00254501,0.0083891,0.00471298,0.00565558,0.00848336,0.0586295,0.00141389,0.00509002,0.00160241,0.00188519,0.0083891,0.00150815,0.00169667,0.00518428,0.00480724,0.00782355,0.0476011,9.42596e-05,0.00235649,0.00160241,0.0121595,0.00923744,0.0039589,0.0575926,0.513149
228,usf0156_RMLO_L1_MS_M.jpg,0.031409,0.059281,0.050832,0.009911,0.068993,0.010784,0.009583,0.009465,0.080155,0.007591,0.011625,0.001439,0.010372,0.01156,0.012061,0.010215,0.099438,0.0019,0.014387,0.001519,0.002146,0.012363,0.006736,0.001499,0.014588,0.014579,0.012365,0.117009,3.5e-05,0.00117,0.002179,0.01139,0.016598,0.007452,0.129457,0.133918,0.031409,0.059281,0.050832,0.009911,0.068993,0.010784,0.009583,0.009465,0.080155,0.007591,0.011625,0.001439,0.010372,0.01156,0.012061,0.010215,0.099438,0.0019,0.014387,0.001519,0.002146,0.012363,0.006736,0.001499,0.014588,0.014579,0.012365,0.117009,3.5e-05,0.00117,0.002179,0.01139,0.016598,0.007452,0.129457,0.133918,0.031409,0.059281,0.050832,0.009911,0.068993,0.010784,0.009583,0.009465,0.080155,0.007591,0.011625,0.001439,0.010372,0.01156,0.012061,0.010215,0.099438,0.0019,0.014387,0.001519,0.002146,0.012363,0.006736,0.001499,0.014588,0.014579,0.012365,0.117009,3.5e-05,0.00117,0.002179,0.01139,0.016598,0.007452,0.129457,0.133918
1540,usf1671_RMLO_L1_CL_M.jpg,0.0149545,0.0481722,0.0334252,0.00466671,0.0677571,0.00593546,0.00515831,0.00511967,0.11339,0.0126208,0.00716936,0.00104757,0.0092592,0.00741402,0.00533934,0.00939554,0.150366,0.000720345,0.00727692,0.000528707,0.000706711,0.00802832,0.00294501,0.000533252,0.00775261,0.00763369,0.00816164,0.133433,4.54476e-05,0.000802151,0.000605968,0.00803438,0.00881154,0.00668383,0.134152,0.158474,0.0149545,0.0481722,0.0334252,0.00466671,0.0677571,0.00593546,0.00515831,0.00511967,0.11339,0.0126208,0.00716936,0.00104757,0.0092592,0.00741402,0.00533934,0.00939554,0.150366,0.000720345,0.00727692,0.000528707,0.000706711,0.00802832,0.00294501,0.000533252,0.00775261,0.00763369,0.00816164,0.133433,4.54476e-05,0.000802151,0.000605968,0.00803438,0.00881154,0.00668383,0.134152,0.158474,0.0149545,0.0481722,0.0334252,0.00466671,0.0677571,0.00593546,0.00515831,0.00511967,0.11339,0.0126208,0.00716936,0.00104757,0.0092592,0.00741402,0.00533934,0.00939554,0.150366,0.000720345,0.00727692,0.000528707,0.000706711,0.00802832,0.00294501,0.000533252,0.00775261,0.00763369,0.00816164,0.133433,4.54476e-05,0.000802151,0.000605968,0.00803438,0.00881154,0.00668383,0.134152,0.158474
2977,mdb218_87.png,0.0346021,0.0553633,0.0484429,0.00346021,0.0622837,0.00692042,0.0103806,0.00692042,0.107266,0.0,0.0,0.0,0.0103806,0.00346021,0.0138408,0.0103806,0.0761246,0.00346021,0.0103806,0.00346021,0.0,0.0138408,0.00346021,0.0,0.0103806,0.00692042,0.0103806,0.0968858,0.0,0.0,0.00346021,0.0311419,0.017301,0.0,0.0622837,0.0553633,0.0346021,0.0553633,0.0484429,0.00346021,0.0622837,0.00692042,0.0103806,0.00692042,0.107266,0.0,0.0,0.0,0.0103806,0.00346021,0.0138408,0.0103806,0.0761246,0.00346021,0.0103806,0.00346021,0.0,0.0138408,0.00346021,0.0,0.0103806,0.00692042,0.0103806,0.0968858,0.0,0.0,0.00346021,0.0311419,0.017301,0.0,0.0622837,0.0553633,0.0346021,0.0553633,0.0484429,0.00346021,0.0622837,0.00692042,0.0103806,0.00692042,0.107266,0.0,0.0,0.0,0.0103806,0.00346021,0.0138408,0.0103806,0.0761246,0.00346021,0.0103806,0.00346021,0.0,0.0138408,0.00346021,0.0,0.0103806,0.00692042,0.0103806,0.0968858,0.0,0.0,0.00346021,0.0311419,0.017301,0.0,0.0622837,0.0553633
3172,5114304.jpg,0.010672,0.032,0.03808,0.002928,0.093152,0.003392,0.002992,0.003584,0.199504,0.006272,0.005408,0.000432,0.005408,0.005152,0.00512,0.005648,0.221008,0.000368,0.007696,0.000352,0.000176,0.004944,0.002032,0.000208,0.005872,0.006288,0.005584,0.128784,0.0,0.000224,0.000256,0.004048,0.005712,0.003888,0.087328,0.079552,0.010672,0.032,0.03808,0.002928,0.093152,0.003392,0.002992,0.003584,0.199504,0.006272,0.005408,0.000432,0.005408,0.005152,0.00512,0.005648,0.221008,0.000368,0.007696,0.000352,0.000176,0.004944,0.002032,0.000208,0.005872,0.006288,0.005584,0.128784,0.0,0.000224,0.000256,0.004048,0.005712,0.003888,0.087328,0.079552,0.010672,0.032,0.03808,0.002928,0.093152,0.003392,0.002992,0.003584,0.199504,0.006272,0.005408,0.000432,0.005408,0.005152,0.00512,0.005648,0.221008,0.000368,0.007696,0.000352,0.000176,0.004944,0.002032,0.000208,0.005872,0.006288,0.005584,0.128784,0.0,0.000224,0.000256,0.004048,0.005712,0.003888,0.087328,0.079552
406,usf0274_LMLO_L1_MS_B.jpg,0.03368,0.062719,0.050578,0.01019,0.066239,0.011606,0.010063,0.009679,0.07519,0.008543,0.012028,0.00168,0.010235,0.012125,0.012229,0.010372,0.093082,0.002352,0.014901,0.001714,0.002493,0.012298,0.006738,0.001623,0.014852,0.014674,0.012416,0.111272,4.3e-05,0.001318,0.002628,0.012011,0.01707,0.007751,0.131373,0.138239,0.03368,0.062719,0.050578,0.01019,0.066239,0.011606,0.010063,0.009679,0.07519,0.008543,0.012028,0.00168,0.010235,0.012125,0.012229,0.010372,0.093082,0.002352,0.014901,0.001714,0.002493,0.012298,0.006738,0.001623,0.014852,0.014674,0.012416,0.111272,4.3e-05,0.001318,0.002628,0.012011,0.01707,0.007751,0.131373,0.138239,0.03368,0.062719,0.050578,0.01019,0.066239,0.011606,0.010063,0.009679,0.07519,0.008543,0.012028,0.00168,0.010235,0.012125,0.012229,0.010372,0.093082,0.002352,0.014901,0.001714,0.002493,0.012298,0.006738,0.001623,0.014852,0.014674,0.012416,0.111272,4.3e-05,0.001318,0.002628,0.012011,0.01707,0.007751,0.131373,0.138239
381,usf0253_RMLO_L1_CL_B.jpg,0.028281,0.053825,0.048164,0.009113,0.071039,0.009609,0.008687,0.008756,0.084538,0.007113,0.010864,0.001414,0.010014,0.010825,0.011219,0.010132,0.107845,0.001738,0.013847,0.001376,0.001871,0.01171,0.006219,0.001422,0.01404,0.014172,0.011642,0.122596,3.6e-05,0.001125,0.001901,0.010814,0.015457,0.007404,0.129454,0.137742,0.028281,0.053825,0.048164,0.009113,0.071039,0.009609,0.008687,0.008756,0.084538,0.007113,0.010864,0.001414,0.010014,0.010825,0.011219,0.010132,0.107845,0.001738,0.013847,0.001376,0.001871,0.01171,0.006219,0.001422,0.01404,0.014172,0.011642,0.122596,3.6e-05,0.001125,0.001901,0.010814,0.015457,0.007404,0.129454,0.137742,0.028281,0.053825,0.048164,0.009113,0.071039,0.009609,0.008687,0.008756,0.084538,0.007113,0.010864,0.001414,0.010014,0.010825,0.011219,0.010132,0.107845,0.001738,0.013847,0.001376,0.001871,0.01171,0.006219,0.001422,0.01404,0.014172,0.011642,0.122596,3.6e-05,0.001125,0.001901,0.010814,0.015457,0.007404,0.129454,0.137742
1338,usf1543_LCC_L1_MS_B.jpg,0.0317035,0.0883835,0.0381449,0.00651946,0.0611672,0.0116823,0.00760339,0.00740342,0.0931843,0.0173125,0.00857294,0.00164672,0.00936676,0.00854643,0.00542796,0.00909407,0.100348,0.00239812,0.00777003,0.00116497,0.00202772,0.00860627,0.00292455,0.00108847,0.00756476,0.00767307,0.00859945,0.08727,0.000151492,0.00139297,0.00126875,0.00640281,0.0094319,0.00751931,0.0968557,0.230304,0.0317035,0.0883835,0.0381449,0.00651946,0.0611672,0.0116823,0.00760339,0.00740342,0.0931843,0.0173125,0.00857294,0.00164672,0.00936676,0.00854643,0.00542796,0.00909407,0.100348,0.00239812,0.00777003,0.00116497,0.00202772,0.00860627,0.00292455,0.00108847,0.00756476,0.00767307,0.00859945,0.08727,0.000151492,0.00139297,0.00126875,0.00640281,0.0094319,0.00751931,0.0968557,0.230304,0.0317035,0.0883835,0.0381449,0.00651946,0.0611672,0.0116823,0.00760339,0.00740342,0.0931843,0.0173125,0.00857294,0.00164672,0.00936676,0.00854643,0.00542796,0.00909407,0.100348,0.00239812,0.00777003,0.00116497,0.00202772,0.00860627,0.00292455,0.00108847,0.00756476,0.00767307,0.00859945,0.08727,0.000151492,0.00139297,0.00126875,0.00640281,0.0094319,0.00751931,0.0968557,0.230304
