,0,1,2,3,4,5,6,7,8
1861,usf1848_LCC_L1_MS_M.jpg,0.154831,1.0,0.397395,0.350649,0.0506816,0.091399,0.0922566,0.0722989
827,usf1145_LMLO_L1_CL_M.jpg,0.219921,1.0,0.706306,0.274175,0.108372,0.130381,0.118775,0.0579261
3061,4151208.jpg,0.157214,1.0,0.842704,0.255673,0.227747,0.171015,0.240421,0.0615162
2926,mdb110_35.png,0.655167,0.998086,1.0,0.69514,0.667713,0.655335,0.67633,0.620626
228,usf0156_RMLO_L1_MS_M.jpg,0.183657,1.0,0.7657,0.189006,0.138738,0.125213,0.127378,0.0786628
1540,usf1671_RMLO_L1_CL_M.jpg,0.221595,1.0,0.676037,0.258367,0.0940092,0.114641,0.121784,0.0582822
2977,mdb218_87.png,0.0,0.868167,1.0,0.435586,0.705949,0.375505,0.720969,0.225303
3172,5114304.jpg,0.10921,1.0,0.808606,0.253468,0.178877,0.220785,0.140639,0.0416557
406,usf0274_LMLO_L1_MS_B.jpg,0.199711,1.0,0.803167,0.205556,0.157482,0.13272,0.143298,0.0898487
381,usf0253_RMLO_L1_CL_B.jpg,0.212245,1.0,0.817712,0.181497,0.147995,0.129147,0.127768,0.0764079
1338,usf1543_LCC_L1_MS_B.jpg,0.199902,1.0,0.603582,0.337875,0.0915014,0.129841,0.127082,0.0869069
410,usf0277_LCC_L1_MS_B.jpg,0.210314,1.0,0.810282,0.2019,0.159819,0.13267,0.142853,0.0917796
405,usf0274_LCC_L1_MS_B.jpg,0.283512,1.0,0.786852,0.281587,0.233529,0.222829,0.22996,0.177778
1733,usf1779_RMLO_L1_MS_B.jpg,0.184572,1.0,0.739704,0.1674,0.0999255,0.11001,0.116944,0.0352833
1674,usf1750_LCC_L1_MS_B.jpg,0.197616,1.0,0.639102,0.293588,0.0900065,0.117103,0.119032,0.0647838
643,usf0392_RMLO_L1_CL_B.jpg,0.154695,1.0,0.797676,0.174812,0.148012,0.130082,0.129493,0.0729621
2433,usf3460_LCC_L1_CL_B.jpg,0.254772,1.0,0.824116,0.172884,0.182656,0.133493,0.143167,0.0838277
377,usf0251_RMLO_L1_MS_B.jpg,0.345179,1.0,0.847736,0.273857,0.254084,0.237998,0.234719,0.187848
1884,usf1863_RCC_L1_MS_B.jpg,0.164765,1.0,0.607351,0.233194,0.0778835,0.109935,0.112623,0.0499663
1160,usf1441_LCC_L1_CL_B.jpg,0.289005,1.0,0.78103,0.244642,0.187387,0.194884,0.190202,0.12458
3139,5110343.jpg,0.0976865,1.0,0.82302,0.179185,0.237737,0.203249,0.164501,0.028764
2878,usf4189_LCC_L1_CL_M.jpg,0.216929,1.0,0.668213,0.1957,0.0839708,0.105299,0.104734,0.0473441
2794,usf4129_RMLO_L1_MS_M.jpg,0.416074,1.0,0.80005,0.411307,0.293173,0.304947,0.313579,0.253203
2480,usf3490_RMLO_L1_MS_B.jpg,0.173358,1.0,0.79135,0.162963,0.142299,0.126665,0.121104,0.0669095
1791,usf1809_LCC_L1_CL_B.jpg,0.358675,1.0,0.731655,0.50866,0.320747,0.330174,0.318978,0.274203
3000,mdb264_110.png,0.04669,0.88508,1.0,0.354293,0.26244,0.221793,0.317488,0.0806522
